2010,2009,2008,University,Country
01,01,01,Harvard University,US
02,02,02,Johns Hopkins University,US
03,03,03,University of California- San Francisco,US
04,05,04,University of California- Los Angeles,US
05,06,12,University of Toronto,Canada
06,07,05,University of Washington- Seattle,US
07,04,07,University of Pennsylvania,US
08,08,06,University of Pittsburgh- Pittsburgh,US
09,12,10,Mayo Clinic College of Medicine,US
10,11,08,Duke University,US
11,10,09,University of Michigan- Ann Arbor,US
12,9,11,Columbia University,US
13,13,13,Stanford University,US
14,15,14,University College London,United Kingdom
15,14,16,The University of Texas- M. D. Anderson Cancer Center,US
16,17,15,Karolinska Institutet,Sweden
17,16,19,University of California- San Diego,US
18,19,18,University of North Carolina- Chapel Hill,US
19,18,17,Yale University,US
20,20,20,Washington University in St. Louis,US
