Name,Park,Country,Opened,Status
Raptor,Gardaland,Italy,1 April 2011,Operating
The Swarm,Thorpe Park,United Kingdom,15 March 2012,Operating
Wild Eagle,Dollywood,United States,24 March 2012,Operating
X-Flight,Six Flags Great America,United States,16 May 2012,Operating
GateKeeper,Cedar Point,United States,11 May 2013,Operating
Parrot Coaster,Chimelong Ocean Kingdom,China,25 January 2014,Operating
Flug der Dämonen,Heide Park,Germany,29 March 2014,Operating
Thunderbird,Holiday World & Splashin ' Safari,United States,25 April 2015,Operating
Flying Wing Coaster,Happy Valley Chongqing,China,8 July 2017,Operating
Fēnix,Toverland,Netherlands,7 July 2018,Operating
Unknown,Hot Go Dreamworld,China,2019,Under Construction
Wing Coaster,Colourful Yunnan Happy World,China,5 July 2018,Operating
Wings of Glory,Huayi Brothers Movie World,China,2018,Operating
Falcon,Wuxi Sunac Land,China,2019,Operating
Unknown,Happy Valley,China,2020,Under Construction
