Sqn,Aircraft,Joined,Departed,From → To,Notes
48,Avro Anson I Bristol Beaufort I Lockheed Hudson V/III,16 July 1940,20 October 1941,RAF Hooton Park RAF Stornoway RAF Skitten,On detachment initially from RAF Hooton Park then squadron moved to RAF Stornoway then on to RAF Skitten
53,Lockheed Hudson V,July 1941,February 1942,RAF Bircham Newton → RAF St Eval,On detachment then squadron moved to RAF St Eval and continued its detachment
143,Bristol Blenheim IV,23 April 1942,11 June 1942,RAF Aldergrove → RAF Thorney Island,Squadron move
153,Boulton Paul Defiant I Bristol Beaufighter IF,October 1941,December 1942,RAF Ballyhalbert → RAF Portreath,On detachment
172,Vickers Wellington XIV,1 September 1944,4 June 1945,RAF Chivenor → DB,Squadron disbanded
221,Vickers Wellington IC,November 1940,25 December 1941,RAF Bircham Newton → RAF Docking,On detachment from RAF Bircham Newton then from RAF Reykjavik
224,Lockheed Hudson II,15 April 1941,20 December 1941,RAF Leuchars → RAF St Eval,Squadron move
245,Hawker Hurricane I,20 July 1940,1 September 1941,RAF Aldergrove → RAF Chilbolton,On detachment
281,Supermarine Sea Otter,31 March 1941,13 August 1945,RAF Mullaghmore → RAF Ballykelly,Squadron move
304,Vickers Wellington XIII,21 September 1944,6 March 1945,RAF Benbecula → RAF St Eval,On detachment
407,Vickers Wellington XI,29 January 1944,28 April 1944,RAF Chivenor → RAF Chivenor,Squadron move
500,Bristol Blenheim IV,30 May 1941,22 March 1942,RAF Bircham Newton → RAF Stornoway,On detachment then squadron move
502,Armstrong Whitworth Whitley V,27 January 1941,10 January 1942,RAF Aldergrove → RAF Bircham Newton,Squadron move
612,Armstrong Whitworth Whitley V,1 April 1941,15 December 1941,RAF Wick → RAF Reykjavik,On detachment then squadron move
