Team,City,Autonomous community,Arena
Benahavís Costa del Sol,Benahavís,Andalusia,Municipal
CAM Enrique Soler,Melilla,Melilla,Guillermo García Pezzi
CB La Zubia,La Zubia,Andalusia,11 de Marzo
CB Novaschool,Rincón de la Victoria,Andalusia,Novaschool Añoreta
CP Mijas Quabit,Mijas,Andalusia,Regino Hernández
Ecoculture CB Almería,Almería,Andalusia,Moisés Ruiz
Jaén Paraíso Interior CB Andújar,Andújar,Andalusia,Municipal
Jaén Paraíso Interior CB Cazorla Shooting Pro Camp,Cazorla,Andalusia,Municipal
Jaén Paraíso Interior CB Martos Montetucci,Martos,Andalusia,Municipal de la Juventud
Unicaja B,Málaga,Andalusia,Los Guindos
