Date,Name,Nat,Moving from,Moving to,Fee
2010-02-02,Christian Gytkjær,DEN,Lyngby,Nordsjælland,Free
2010-04-10,Mathias Nielsen,DEN,HB Køge,Nordsjælland,Free
2010-04-22,Atiba Hutchinson,CAN,Copenhagen,PSV,Free
2010-05-05,Benjamin Kibebe,SWE,Nordsjælland,Luzern,Undisclosed
2010-05-06,Kasper Jensen,DEN,Paderborn,Midtjylland,Free
2010-05-19,Jesper Jensen,DEN,SønderjyskE,Vejle,Undisclosed
2010-05-20,Jesper Mikkelsen,DEN,Troyes,Silkeborg,Free
2010-05-25,Mads Pedersen,DEN,SønderjyskE,FCV,Undisclosed
2010-05-25,Mark Leth Pedersen,DEN,Brøndby,FCV,Free
2010-05-26,Peter Ankersen,DEN,Esbjerg,Vejle,Free
2010-06-02,Henrik Ipsen,DEN,SønderjyskE,Vejle,Free
2009-06-03,Martin Raška,CZE,Midtjylland,Trnava,Free
2009-06-07,Arnór Smárason,ISL,Heerenveen,Esbjerg,Free
2010-07-01,Abbas Hassan,SWE,AaB,Elfsborg,Loan return
2010-07-01,Morten Nordstrand,DEN,Groningen,Copenhagen,Loan return
2010-07-01,Emil Ousager,DEN,Næsby,OB,Loan return
2010-07-01,Gunnar Thorvaldsson,ISL,Reading,Esbjerg,Loan return
2010-07-01,Ken Fagerberg,SWE,Örgryte,Midtjylland,Loan return
2010-07-01,Stefan Gislason,ISL,Viking,Brøndby,Loan return
2010-07-01,Pierre Kanstrup,DEN,Lyngby,Brøndby,Loan return
