Year,Title,Role,Notes
"1999-2002 , 2005",Neighbours,Felicity Scully,Main role ; 330 episodes
2004,CSI : Miami,Kay Coleman,Episode : Addiction
2005,Entourage,Leanna,Episode : My Maserati Does 185
2005,CSI : NY,Lydia,Episode : YoungBlood
2005-06,Prison Break,Nika Volek,Recurring role ( Season 1 - 2 )
2007,Moonlight,Lola,Episode : B.C
2007,Shark,Christina Shaw,Episode : Every Breath You Take
2008,Valentine,Vivi Langdon,Episode : Act Naturally
2010,Agatha Christie 's Marple,Kanga,Episode : The Pale Horse
2011,Strictly Come Dancing,Contestant,Season 9
2013-14,Shopaholic Showdown,Judge / Mentor,
