Round,Pick #,Overall,Name,Position,College
1,19,19,Joey Browner,Safety,USC
3,17,73,Walker Lee Ashley,Linebacker,Penn State
4,16,100,Mark Rush,Running back,Miami ( FL )
5,15,127,Mark Stewart,Linebacker,Washington
6,19,159,Mike Jones,Wide receiver,Tennessee State
7,18,186,Carl Lee,Cornerback,Marshall
8,17,213,Norris Brown,Tight end,Georgia
9,15,239,Rod Achter,Wide receiver,Toledo
10,4,255,Melvin Brown,Defensive back,Mississippi
10,15,266,Walter Tate,Center,Tennessee State
11,19,298,Brian Butcher,Guard,Clemson
12,18,325,Maurice Turner,Running back,Utah State
