District,Representative,Party,Residence,First Elected,Term Limited
1,Linda Bolon,Dem,East Palestine,2006,2014
2,Kris Jordan,Rep,Dublin,2008,2016
3,Ron Amstutz,Rep,Wooster,2008,2016
4,Matt Huffman,Rep,Lima,2006,2014
5,Gerald Stebleton,Rep,Lancaster,2006,2014
6,Randy Gardner,Rep,Bowling Green,2008 ( Appt . ),2016
7,Kenny Yuko,Dem,Richmond Heights,2004,2012
8,Armond Budish,Dem,Beachwood,2006,2014
9,Barbara Boyd,Dem,Cleveland Heights,2006,2014
10,Robin Belcher,Dem,Cleveland,2009 ( Appt . ),2018
11,Sandra Williams,Dem,Cleveland,2006,2014
12,Michael DeBose,Dem,Cleveland,2002 ( Appt . ),2010
13,Michael J. Skindell,Dem,Lakewood,2002,2010
14,Michael Foley,Dem,Cleveland,2006 ( Appt . ),2014
15,Timothy J. DeGeeter,Dem,Parma,2003 ( Appt . ),2012
16,Nan Baker,Rep,Westlake,2008,2016
17,Josh Mandel,Rep,Lyndhurst,2006,2014
18,Matt Patten,Dem,Strongsville,2008,2016
19,Marian Harris,Dem,Columbus,2008,2016
20,Nancy Garland,Dem,New Albany,2008,2016
