Site,Island,Municipality
Ryūtan and its Surroundings 龍潭 及びその周辺 Ryūtan oyobi sono shūhen,Okinawa Island,Naha
Sonohyan-utaki 園比屋武御嶽 Sonohyan utaki,Okinawa Island,Naha
Noguni Sōkan Grave 野国総官 の墓 Noguni Sōkan no haka,Okinawa Island,Kadena
German Emperor 's Tributary Monument ドイツ皇帝博愛記念碑 Doitsu kōtei hakuai kinen hi,Miyakojima Island,Miyakojima
Nakasone Toyomiya Grave 仲宗根豊見親の墓 Nakasone Toyomiya no haka,Miyakojima Island,Miyakojima
Uehiyayama Site 上比屋山遺跡 Uehiyayama iseki,Miyakojima Island,Miyakojima
Noborudake Spirit Stones 野原岳の霊石 Noborudake no tamaishi,Miyakojima Island,Miyakojima
Nakazato Magiri Kuramoto Site 仲里間切 蔵元 跡 Nakazato magiri kuramoto ato,Kumejima Island,Kumejima
Misakion 美崎御嶽 Misakion,Ishigaki Island,Ishigaki
Yagaji Untenbaru Sabaya Shell Mound 屋我地 運天原サバヤ貝塚 Yagaji Untenbaru Sabaya kaizuka,Yagaji Island,Nago
Noguni Shell Mound Cluster 野国貝塚群 Noguni kaizuka-gun,Okinawa Island,Kadena
Sachihijā Shell Mound 崎樋川貝塚 Sachihijā kaizuka,Okinawa Island,Naha
Henna Shell Mound 平安名貝塚 Henna kaizuka,Okinawa Island,Uruma
Komesu Shell Mound 米須貝塚 Komesu kaizuka,Okinawa Island,Itoman
Kumejima Ōhara Shell Mound 久米島大原貝塚 Kumejima Ōhara kaizuka,Kumejima Island,Kumejima
Shimotabaru Shell Mound 下田原貝塚 Shimotabaru kaizuka,Hateruma Island,Taketomi
Nakama No.1 Shell Mound 仲間第一貝塚 Nakama daiichi kaizuka,Iriomote Island,Taketomi
Nakama No.2 Shell Mound 仲間第二貝塚 Nakama daini kaizuka,Iriomote Island,Taketomi
Binishi Shell Mound 平西貝塚 Binishi kaizuka,Iriomote Island,Taketomi
Iejima Deer Fossils 伊江島鹿の化石 Iejima shika no kaseki,Iejima Island,Ie
