Rank,Code,Official Team Name,Country,Website
1,RBW,Rabobank Women Cycling Team ( 2012 season ),Netherlands,rabosport.com
2,SLU,Team Specialized-lululemon ( 2012 season ),Germany,velociosports.com
3,LNL,AA Drink-leontien.nl Cycling Team ( 2012 season ),Netherlands,aacyclingteam.nl
4,GEW,GreenEDGE-AIS,Australia,greenedgecycling.com
5,HPU,Hitec Products-Mistral Home Cycling Team,Norway,hitecproducts-uck.no
6,DPZ,Diadora-Pasta Zara,Italy,diadorapastazara.com
7,BPK,Be Pink,Italy,bepink.eu
8,FHT,Faren Honda Team,Italy,farenhonda.com
9,RVL,RusVelo,Russia,rusveloteam.com
10,LBL,Lotto Belisol Ladies,Belgium,lottobelisol.be/en/ladies-team-10.htm
11,DLT,Dolmans-Boels cyclingteam,Netherlands,dolmanslandscapingteam.nl
12,MCG,MCipollini-Giambenini,Italy,mcipollinigiordanateam.com
13,SKI,Team Skil-Argos ( 2012 season ),Netherlands,1t4i.com
14,VAI,Vaiano Tepso,Italy,vcvaiano.com
15,KLT,Kleo Ladies Team,Belgium,
16,TIB,TIBCO-To The Top,United States,teamtibco.com
17,MIC,S.C. Michela Fanini Rox,Italy,michelafanini.com
18,GSD,Team GSD Gestion,France,wix.com/teamgsdgestion/teamgsdgestion
19,EXG,Exergy TWENTY12,United States,teamtwenty12.com/
20,FUT,Vienne Futuroscope,France,cyclisme-vienne-futuroscope.com
