Rank,Name,Nation,Total points,SP,FS
1,Ksenia Makarova,Russia,152.69,1,1
2,Valentina Marchei,Italy,143.33,5,2
3,Haruka Imai,Japan,141.46,3,3
4,Kana Muramoto,Japan,137.42,2,4
5,Katharina Häcker,Germany,125.30,6,6
6,Belinda Schönberger,Austria,123.42,11,5
7,Léna Marrocco,France,120.67,4,13
8,Viktoria Helgesson,Sweden,117.89,13,7
9,Chelsea Morrow,United States,117.88,8,11
10,Gwendoline Didier,France,117.58,12,8
11,Ksenia Doronina,Russia,114.54,9,14
12,Sandy Hoffmann,Germany,113.12,17,10
13,Miriam Ziegler,Austria,112.35,20,9
14,Tatyana Khazova,United States,111.47,10,19
15,Karina Sinding Johnson,Denmark,110.99,18,12
16,Natalia Popova,Ukraine,109.95,16,15
17,Anastasia Kononenko,Ukraine,108.26,14,18
18,Karly Robertson,United Kingdom,105.35,7,22
19,Angelica Olsson,Sweden,104.76,15,20
20,Johanna Allik,Estonia,103.64,23,17
