Frequency,UHF,kW,Service,System
538.000 MHz,29,8,Arqiva ( Mux D ),DVB-T
578.000 MHz,34,10,BBC ( Mux 1 ),DVB-T
679.25 MHz,47,-,Six TV ( The Oxford Channel until 2003 ),PAL System I
690.000 MHz,48,8,Arqiva ( Mux C ),DVB-T
695.25 MHz,49,40,Channel 5,PAL System I
713.833 MHz,51-,6,SDN ( Mux A ),DVB-T
721.833 MHz,52-,6,BBC ( Mux B ),DVB-T
727.25 MHz,53,500,Channel 4,PAL System I
759.25 MHz,57,500,BBC One,PAL System I
783.25 MHz,60,500,ITV1 ( Central until 2002 ),PAL System I
807.25 MHz,63,500,BBC Two,PAL System I
850.000 MHz,68,10,Digital 3 & 4 ( Mux 2 ),DVB-T
