Year,Artist,Work,Nominees
1980,Emmylou Harris,Blue Kentucky Girl,Crystal Gayle - We Should Be Together Brenda Lee - Tell Me What It 's Like Barbara Mandrell - Just for the Record Billie Jo Spears - I Will Survive
1981,Anne Murray,Could I Have This Dance,Crystal Gayle - If You Ever Change Your Mind Emmylou Harris - Roses in the Snow Barbara Mandrell - The Best of Strangers Sissy Spacek - Coal Miner 's Daughter
1982,Dolly Parton,9 to 5,Rosanne Cash - Seven Year Ache Terri Gibbs - Somebody 's Knockin ' Barbara Mandrell - I Was Country When Country Was n't Cool Juice Newton - Queen of Hearts
1983,Juice Newton,Break It to Me Gently,Rosanne Cash - Ai n't No Money Emmylou Harris - Cimarron Dolly Parton - I Will Always Love You Sylvia - Nobody
1984,Anne Murray,A Little Good News,"Deborah Allen - Baby I Lied Crystal Gayle - Baby , What About You Emmylou Harris - Last Date Dolly Parton - Burlap & Satin"
1985,Emmylou Harris,In My Dreams,Janie Fricke - Your Heart 's Not in It Crystal Gayle - The Sound of Goodbye Anne Murray - Heart over Mind Dolly Parton - Tennessee Homesick Blues
1986,Rosanne Cash,I Do n't Know Why You Do n't Want Me,Janie Fricke - She 's Single Again Emmylou Harris - The Ballad of Sally Rose Juice Newton - You Make Me Want to Make You Mine Dolly Parton - Real Love
1987,Reba McEntire,Whoever 's in New England,Crystal Gayle - Cry Holly Dunn - Daddy 's Hands Emmylou Harris - Today I Started Loving You Again Kathy Mattea - Love at the Five and Dime
1988,K. T. Oslin,80s Ladies,Rosanne Cash - King 's Record Shop Emmylou Harris - Angel Band Reba McEntire - The Last One to Know Tanya Tucker - Love Me Like You Used To
1989,K. T. Oslin,Hold Me,Emmylou Harris - Back in Baby 's Arms k.d . lang - I 'm Down to My Last Cigarette Reba McEntire - Reba Tanya Tucker - Strong Enough to Bend
