Date,Week,Opponent,Venue,Result,Score
17 April,1,Denver Stampede,"Infinity Park , Denver",Loss,16-13
1 May,3,San Francisco Rush,"Memorial Park , Obetz",Won,51-17
8 May,4,Sacramento Express,"Bonney Field , Sacramento",Won,17-31
15 May,5,San Diego Breakers,"Torero Stadium , San Diego",Loss,20-24
22 May,6,Sacramento Express,"Memorial Park , Obetz",Won,50-17
29 May,7,San Francisco Rush,"Boxer Stadium , San Francisco",Loss,35-20
12 June,9,San Diego Breakers,"Memorial Park , Obetz",Won,55-31
19 June,10,Denver Stampede,"CIBER Field , Denver",Won,27-48
26 June,11,San Francisco Rush,"Memorial Park , Obetz",Won,71-20
3 July,12,San Diego Breakers,"Memorial Park , Obetz",,
9 July,13,Sacramento Express,"Bonney Field , Sacramento",,
31 July,16,Denver Stampede,"Memorial Park , Obetz",,
