Year,Title,Role
2000,Get Carter,Girl # 1
2000,Sanctimony,Virginia
2001,Children of the Corn : Revelation,Tiffany
2002,Insomnia,Kay Connell
2002,I Spy,Beautiful Girl
2004,Going the Distance,Waitress
2005,Thralls,Tanya Watner
2006,Final Destination 3,Ashlyn Halperin
2006,Scary Movie 4,Chingy 's Girl # 1
2006,Snakes on a Plane,Autograph Girl
2006,Black Christmas,Lauren Hannon
2007,Fantastic Four : Rise of the Silver Surfer,Hot Party Girl # 3
2007,Wrong Turn 2 : Dead End,Elena Garcia
2007,Good Luck Chuck,Cam 's Wedding Friend
2007,Coffee Diva,Chipped Tooth / Starlet
2008,That One Night,Stacy
2008,Center Stage : Turn It Up,Lexi
2008,Dim Sum Funeral,Jane
2009,Driven to Kill,Tanya
2010,Hot Tub Time Machine,Zoe
