Year,Title,Roles
1976,Mundos opuestos,Joaquín
1981,Extraños caminos del amor,Álvaro
1982,Angélica,Humberto
1983-1984,El maleficio,César
1987,El precio de la fama,Jaime Garay
1990,Días sin luna,Andrés
1991,Vida robada,Carlos
1995,El premio mayor,Jorge
1996,Te sigo amando,Ignasio Aguirre
2000,La casa en la playa,Juan Carlos Cabrera
2001,Sin pecado concebido,Emiliano Martorel Ochoa
2003,Niña amada mía,Víctor Izaguirre
2004,La descarada Rubí,Yago Píetrasanta
2006,Duelo de pasiones,Álvaro Montellano
2007,Amor sin maquillaje,Héctor Ibarra
2009,Mi pecado,Gabino Roura Beltrán
2010,Soy tu dueña,Rosendo Gavilán
2011-2012,Dos hogares,Ricardo Valtierra
2013,Corazón indomable,Álvaro Cifuentes
2015,Que te perdone Dios,Fausto
