Name,Position,Notable Clubs
Andy Goram,Goalkeeper,"Rangers , Manchester United"
Denis Irwin,Fullback ( Right ),"Manchester United , Oldham Athletic , Wolverhampton Wanderers"
Colin Hendry,Defender ( Centre ),"Blackburn Rovers , Manchester City , Rangers"
Des Walker,Defender ( centre ),"Nottingham Forest , Sheffield Wednesday , Sampdoria"
Nigel Winterburn,Fullback ( Left ),"Arsenal , Wimbledon , West Ham United"
Chris Waddle,Winger ( Right ) ( Captain ),"Newcastle United , Sheffield Wednesday , Olympique Marseille , Tottenham Hotspur"
David Batty,Midfielder ( centre ),"Leeds United , Blackburn Rovers , Newcastle United"
Gary McAllister,Midfielder ( centre ),"Leeds United , Liverpool , Leicester City , Coventry City"
Paul Merson,Winger ( Left ),"Arsenal , Middlesbrough , Aston Villa , Portsmouth , Walsall"
Ian Rush,Striker,"Chester City , Liverpool , Juventus , Leeds United , Newcastle United"
Peter Beardsley,Striker,"Liverpool , Newcastle United , Everton , Bolton Wanderers , Fulham"
