Name,Opened,Municipality,District
Adelfas,2017,Seville,East
Aeronáutica,2017,Seville,East
Carretera Amarilla,2017,Seville,East
Carretera de Carmona,2017,Seville,East
Ciencias,2017,Seville,East
Clemente Hidalgo,2017,Seville,Cerro-Amate
Hospital Virgen Macarena,2017,Seville,Macarena
Jardines de Murillo,2017,Seville,Casco Antiguo
Llanes,2017,Seville,East
Los Carteros,2017,Seville,North
Los Mares,2017,Seville,North
Luis Uruñuela,2017,Seville,East
Macarena,2017,Seville,Macarena
María Auxiliadora,2017,Seville,Casco Antiguo
Montesierra,2017,Seville,East
Palacio de Congresos,2017,Seville,East
Pedro Romero,2017,Seville,East
Pino Montano,2017,Seville,North
Pío XII,2017,Seville,North
Prado de San Sebastián,2017,Seville,South / Casco Antiguo
