Title,Artist,Year,Material,Dimensions,Owner
Sewall Memorial Torches,,1922,Bronze,120 × 36 × 36,Indianapolis Museum of Art
Untitled ( Jazz Musicians ),John Spaulding,1995,Bronze,8 ft 5 in × 19 ft × 19 ft,
Free Money,Tom Otterness,1999,,,Arts Council of Indianapolis
King at Rest,Lorenzo Ghiglieri,1988,Bronze,,Indiana Convention Center
Male Tourist,Tom Otterness,1999,,,Arts Council of Indianapolis
Female Tourist,Tom Otterness,1999,,,Arts Council of Indianapolis
Table of Contents,Dale Enochs,1999,Limestone,42 ft × 50 ft × 20 ft,The Joseph F. Miller Center
Glory,Gary Bibbs,1999,Bronze & Steel,24 m × 12 m × 0.30 m,The Joseph F. Miller Center
Jammin ' on the Avenue,John Spaulding,1989,Brass musical instruments,9 ft. 8 in . × 4 ft. × 4 ft,
James Whitcomb Riley ( bust ),Myra Reynolds Richards,1916,Bronze,27 × 17 × 17 in,James Whitcomb Riley Memorial Association
World War II Memorial,Patrick Brunner,1998,"Limestone , granite",H 25 F × W 9 F,City of Indianapolis
Korean War Memorial,,1996,,,City of Indianapolis
Vietnam War Memorial,,1996,,,City of Indianapolis
Depew Memorial Fountain,Alexander Stirling Calder,1919,"bronze , granite",25 × 45 × 45 ft. ( 14 m . ),City of Indianapolis
Pan,Roger White,1980,"Bronze , Limestone",30 in . × 14 in . × 19 in,City of Indianapolis
Schuyler Colfax,Lorado Taft,1887,"Bronze , Oak Hill granite",8 ft. 4 in . × 2 ft. × 2 ft,City of Indianapolis
Seated Lincoln,Henry Hering,1934,"Bronze , Vermont rose granite",,City of Indianapolis
Statue of Benjamin Harrison,Charles Henry Niehaus,1908,"Bronze , Limestone",128 × 47 × 51 in,City of Indianapolis
Syrinx,Adolph Wolter,1973,"Bronze , Limestone",27 in × 16 in . × 13 in,City of Indianapolis
"Indiana World War Memorial Figures ( Courage , Memory , Peace , Victory , Liberty , Patriotism )",Henry Hering,1928,Limestone,"24 figures , each 8 × 3 × 2 ft",State of Indiana
