Pos,Player,Date,Notes
WR,Andy Tanner,"January 18 , 2012",
CB,Kamaal McIlwain,"January 18 , 2012","Released August 27 , 2012"
OT,Phil Trautwein,"January 18 , 2012","Released May 15 , 2012"
OG,Nick Howell,"January 18 , 2012","Released May 15 , 2012"
QB,Sean Canfield,"January 18 , 2012",
CB,Josh Victorian,"January 18 , 2012","Released May 15 , 2012"
CB,Cord Parks,"January 18 , 2012","Released July 31 , 2012 . Re-Signed August 2 , 2012 . Released August 27 , 2012"
OT,Fenuki Tupou,"January 18 , 2012","Placed on Injured Reserve August 20 , 2012"
RB,Chris Taylor,"January 18 , 2012","Released June 8 , 2012"
DT,Mitch King,"January 18 , 2012",
DT,Swanson Miller,"January 19 , 2012","Released August 27 , 2012"
OG,Ben Grubbs,"March 15 , 2012",From the Baltimore Ravens
DT,Brodrick Bunkley,"March 21 , 2012",From the Denver Broncos
LB,Chris Chamberlain,"March 23 , 2012","From the St. Louis Rams . Placed on Injured Reserve August 20 , 2012"
LB,Curtis Lofton,"March 24 , 2012",From the Atlanta Falcons
LB,David Hawthorne,"April 3 , 2012",From the Seattle Seahawks
WR,Courtney Roby,"April 16 , 2012",Re-Signed
CB,Jabari Greer,"April 20 , 2012",Re-Signed
LB,Jonathan Casillas,"April 24 , 2012",Re-Signed
K,John Kasay,"April 26 , 2012",Re-Signed
