Medal,Name,Sport,Event,Date
Gold,Amirul Hamizan Ibrahim,Weightlifting,Men 's 56 kg,4
Gold,Aricco Jumitih,Weightlifting,Men 's 62 kg,5
Gold,Josiah Ng,Cycling,Men 's keirin,6
Gold,Nicol David,Squash,Women 's singles,8
Gold,Chan Peng Soon Chin Eei Hui Goh Liu Ying Koo Kien Keat Lee Chong Wei Lydia Cheah Li Ya Muhammad Hafiz Hashim Tan Boon Heong Wong Mew Choo Woon Khe Wei,Badminton,Mixed team,8
Gold,Nur Suryani Mohamed Taibi Nur Ayuni Farhana Abdul Halim,Shooting,Women 's 10 metre air rifle pairs,9
Gold,Pandelela Rinong,Aquatics,Women 's 10 metre platform,11
Gold,Bibiana Ng Pei Chin,Shooting,Women 's 10 metre air pistol singles,13
Gold,Koo Kien Keat Chin Eei Hui,Badminton,Mixed doubles,14
Gold,Elaine Koon,Gymnastics,Women 's rhythmic individual hoop,14
Gold,Lee Chong Wei,Badminton,Men 's singles,14
Gold,Koo Kien Keat Tan Boon Heong,Badminton,Men 's doubles,14
Silver,Naharudin Mahayudin,Weightlifting,Men 's 62 kg,5
Silver,Mohd Rizal Tisin,Cycling,Men 's 1 kilometre time trial,5
Silver,Hafiz Adzha Hasli Izwan Amir Hasan,Shooting,Men 's 25 metre rapid fire pistol pairs,7
Silver,Arif Farhan Ibrahim Putra Cheng Chu Sian Muhammad Izzudin Abdul Rahim,Archery,Men 's recurve team,8
Silver,Hasli Izwan Amir Hasan,Shooting,Men 's 25 metre rapid fire pistol singles,8
Silver,Nur Ayuni Farhana Abdul Halim,Shooting,Women 's 10 metre air pistol singles,10
Silver,Pandelela Rinong Leong Mun Yee,Aquatics,Women 's synchronized 10 metre platform,10
Silver,Nor Hashimah Ismail Nor Izyani Azmi,Lawn bowls,Women 's pairs,11
