Year,Title,Role
1982,Soup for One,Blonde in Bar
1983,Lovesick,Nymphomaniac
1984,Crackers,Maxine
1986,9½ Weeks,Thea
1986,Legal Eagles,Carol Freeman
1987,The Pick-up Artist,Harriet
1990,Reversal of Fortune,Andrea Reynolds
1993,The Night We Never Met,Lucy
1993,Life with Mikey,Carol
1993,Addams Family Values,Becky Martin-Granger
1994,The Ref,Connie Chasseur
1994,Getting In,Mrs. Margaret Maggie Higgs
1994,The War,Miss Strapford
1995,New Jersey Drive,Prosecutor
1995,Jeffrey,Ann Marwood Bartle
1996,The Birdcage,Katherine Archer
1998,The Odd Couple II,Thelma
1998,Bulworth,Constance Bulworth
1999,Cruel Intentions,Bunny Caldwell
1999,Bowfinger,Carol
