Pick #,MLS team,Player,Position,Affiliation
39,Toronto FC,Nik Robson,Midfielder,New Mexico
40,Chivas USA,PASS,,
41,Portland Timbers,PASS,,
42,New England Revolution,Alex DeJohn,Defender,Old Dominion Central Jersey Spartans
43,Philadelphia Union,Jake Keegan,Forward,Binghamton Jersey Express
44,Colorado Rapids,Machael David,Midfielder,UCSB
45,FC Dallas,Cam Wilder,Midfielder,Kentucky
46,Montreal Impact,Luciano Delbono,Midfielder,Wake Forest Carolina Dynamo
47,Montreal Impact,Juan Arbelaez,Midfielder,VCU
48,Vancouver Whitecaps FC,Joshua Patterson,Forward,Duquesne
49,Chicago Fire,James Belshaw,Goalkeeper,Duke
50,Real Salt Lake,Brock Granger,Defender,Louisville Portland Timbers U23s
51,New York Red Bulls,Stephane Diop,Forward,UConn
52,Sporting Kansas City,Brian Fekete,Defender,Tampa GPS Portland Phoenix
53,San Jose Earthquakes,Colin Mitchell,Defender,Oregon State
54,Seattle Sounders FC,Lebogang Moloto,Midfielder,Lindsey Wilson
55,D.C. United,PASS,,
56,Houston Dynamo,Nic Ryan,Midfielder,UCSB
57,Los Angeles Galaxy,PASS,,
