University,Location,Established,Acceptance Rate,Students ( Fall 2014 ),Campus Area ( acres )
Ave Maria University,Ave Maria,1998,48%,"1,081",1000
Barry University,Miami Shores,1940,57%,"8,518",122
Beacon College,Leesburg,1989,63%,223,12
Bethune-Cookman University,Daytona Beach,1904,77%,"4,045",85
Eckerd College,St. Petersburg,1958,67%,"2,083",188
Edward Waters College,Jacksonville,1866,82%,929,23
Embry-Riddle Aeronautical University,Daytona Beach,1925,78%,"5,538",406
Everglades University,Boca Raton,1998,96%,"1,451",4
Flagler College,St. Augustine,1968,40%,"2,782",19
Florida College,Temple Terrace,1942,85%,555,20
AdventHealth University,Orlando,1992,65%,"2,090",9
Florida Institute of Technology,Melbourne,1958,57%,"6,393",130
Florida Memorial University,Miami Gardens,1879,80%,"1,528",44
Florida Southern College,Lakeland,1883,58%,"2,670",100
Hodges University,Naples,1990,79%,"1,892",16
Keiser University,Fort Lauderdale,1977,68%,"18,335",N/A
Jacksonville University,Jacksonville,1934,39%,"4,085",190
Lynn University,Boca Raton,1962,68%,"2,613",123
Nova Southeastern University,Fort Lauderdale,1964,58%,"24,148",480
Palm Beach Atlantic University,West Palm Beach,1968,78%,"3,865",120
