School,Sport ( s ),Former Conference,New Conference
Air Force Falcons,Men 's lacrosse,Independent,SoCon
Air Force Falcons,Wrestling,WWC,Big 12
Akron Zips,Baseball,MAC,Dropped baseball
Alderson Broaddus Battlers,Men 's volleyball,Club team,Independent
Appalachian State Mountaineers,Field hockey,NorPac,Independent
Arizona Wildcats,Women 's beach volleyball,Independent,Pac-12
Arizona State Sun Devils,Women 's beach volleyball,Independent,Pac-12
Arizona State Sun Devils,Men 's ice hockey,Club team,Independent
Army Black Knights,Women 's lacrosse,Club team,Patriot League
Cal Poly Mustangs,Beach volleyball,Independent,Big West
Cal State Northridge Matadors,Beach volleyball,Independent,Big West
California Golden Bears,Beach volleyball,Independent,Pac-12
California Golden Bears,Field hockey,NorPac,America East
Central Michigan Chippewas,Women 's lacrosse,Club team,Atlantic Sun
Charleston ( WV ) Golden Eagles,Men 's volleyball,Independent,EIVA
Charlotte 49ers,Football,Division I FCS independent,C-USA
Coastal Carolina Chanticleers,Beach volleyball,No team,Atlantic Sun
Columbus State Cougars,Rifle,OVC,Dropped rifle
CSU Bakersfield Roadrunners,Beach volleyball,Independent,Big West
Denver Pioneers,Women 's gymnastics,MRGC,Big 12
