Date,Pitcher,Score,Opponent
"July 2 , 1961",Dennis Ribant *,1-0,Clinton C-Sox
"May 6 , 1966",Vern Geishert,7-0,Fox Cities Foxes
"May 4 , 1971",Sid Monge,6-0,Cedar Rapids Cardinals
"August 21 , 1974",Lamar Wright,2-0 ( 7 ),Danville Warriors
"May 20 , 1975",Jim Dorsey,4-0 ( 7 ),Clinton Pilots
"May 31 , 1976",Don Mraz,3-0 ( 7 ),Wisconsin Rapids Twins
"July 26 , 1976",Ralph Botting,3-0 ( 7 ),Wausau Mets
"July 9 , 1977",T. Joel Crisler,1-0 ( 7 ) ( G2 ),Wisconsin Rapids Twins
"May 19 , 2000",Tim Sturdy,1-0 ( 7 ),Cedar Rapids Kernels
"August 12 , 2001",Brian Wolfe,2-0,Dayton Dragons
"May 19 , 2009",Hector Cardenas ( 5 IP ) Kevin Thomas ( 2 IP ),3-0 ( 7 ),Beloit Snappers
