Club,Municipality,Province,Finishing position 2014-15 season
K.S.V . White Star Adinkerke,Adinkerke,West Flanders,1st of West Flanders Division One
S.K . Berlare,Berlare,East Flanders,11th
SVV Damme,Damme,West Flanders,5th of West Flanders Division One
S.C. Dikkelvenne,Dikkelvenne,East Flanders,1st of East Flanders Division One
S.K . Eernegem,Eernegem,West Flanders,12th
Sporting West Harelbeke,Harelbeke,West Flanders,3rd
OMS Ingelmunster,Ingelmunster,West Flanders,4th
R. Knokke FC,Knokke,West Flanders,7th
K.S.C . Toekomst Menen,Menen,West Flanders,8th
K.V.K . Ninove,Ninove,East Flanders,2nd of East Flanders Division One
K.S.K . Ronse,Ronse,East Flanders,6th
Sporting Sint-Gillis Waas,Sint-Gillis-Waas,East Flanders,10th
FC Pepingen,Pepingen,Flemish Brabant,7th
K.V.K . Westhoek,Ypres,West Flanders,5th
R.F.C . Wetteren,Wetteren,East Flanders,13th
K.F.C . Eendracht Zele,Zele,East Flanders,17th of third division A
