County,Winners,Runners-up,Winning clubs,Runners-up
Tunisia,4,2,"Étoile du Sahel ( 2 ) , Espérance ( 1 ) , CS Sfaxien ( 1 )",Étoile du Sahel ( 2 )
Algeria,3,0,JS Kabylie ( 3 ),-
Morocco,2,1,"Kawkab Marrakech ( 1 ) , Raja Casablanca ( 1 )",Wydad Casablanca ( 1 )
Nigeria,2,0,"Bendel Insurance ( 1 ) , Shooting Stars ( 1 )",-
Ivory Coast,1,0,Stella Club d'Adjamé ( 1 ),-
Angola,0,2,-,"Primeiro de Maio ( 1 ) , Petro de Luanda ( 1 )"
Cameroon,0,2,-,"Cotonsport Garoua ( 1 ) , Tonnerre Yaoundé ( 1 )"
Uganda,0,1,-,Villa SC ( 1 )
Tanzania,0,1,-,Simba SC ( 1 )
Guinea,0,1,-,AS Kaloum Star ( 1 )
Senegal,0,1,-,ASC Jeanne d'Arc ( 1 )
Egypt,0,1,-,Ismaily ( 1 )
