S.No,Temple,Height ft,Consecration Year,Notes,Location
1,Sri Ranganathaswamy Temple,239.501,1987 CE,The Srirangam Temple is the largest temple and tallest temple tower in India . The temple occupies an area of 156 acres ( 63 ha ),"Srirangam , Tamil Nadu , India"
2,Murdeshwara Temple,237,2008 CE,"The temple is popular among travellers for the pretty high Siva temple , which is towered over an immense 40m high idol of the deity . The gopuram is now the second tallest in India . This is also the only one where one can take a lift to top floor of the gopuram","Murdeshwara , Karnataka , India"
3,Annamalaiyar Temple Eastern Gopuram ( Raja Gopuram ),216.5,9th Century CE,"The temple covers some 10 hectares , this vast temple is one of the largest of India . Four large unpainted gopurams , one of each cardinal point , front of approaches , with the eastern side rising 13 storeys and an astonishing 66m","Tiruvannamalai , Tamil Nadu , India"
4,Srivilliputhur Andal Temple,193.5,CE,"The 11-storied gopuram has a height of 59m , making it the tallest gopuram of the era . During the period of Madurai Nayaks , the lesser figures sponsored religious projects , including large scale campus . The temple is the emblem of the Government of Tamil Nadu","Srivilliputhur , Tamil Nadu , India"
5,Ulagalantha Perumal Temple,192,AD,"This temple is dedicated to Sri Trivikrama - Ulagalanda Perumal , the fifth incarnation of Lord Vishnu . This temple tower is one of the tallest , measuring 192 feet ( 59 m ) in height . The Alwars Poigai Alvar , Bhoothathalvar & Peyalvar sang in praise of Lord Vishnu which formed the integral part of the Nalayira Divya Prabandham . One of the special features is that one idol contains the forms of two Gods - front side as Chakratalwar with sixteen hands and the back side as Narasimhar","Tirukoilur , Tamil Nadu , India"
6,Ekambareswarar Temple,190,CE,"This is Kanchipuram 's largest temple with its tall gopuram , a highly visible symbol of Vijayanagar dynasty . The entire complex covers an area of 10 hectares and has five courtyards","Kanchipuram , Tamil Nadu , India"
7,Azhagar Kovil,187,CE,"Azhagar Koyil is a temple dedicated to Lord Vishnu . In the outer gateway of the temple , there is a massive door that is rarely opened . Behind the door , Karupannaswamy , the subordinate of Lord Vishnu , although no image of Karuppanaswamy is present . The shrine is dedicated to Karupannaswamy","Madurai , Tamil Nadu , India"
8,"Kasi Viswanathar temple , Tenkasi",180,15th Century CE,"Built by the Pandya Kings , the massive gopura of the temple is the second largest in Tamil Nadu . This temple is also known as Ulagamman Temple . This temple boasts beautiful sculptures and also has musical stone pillars that produce different sounds when tapped with fingers . Name of the town is derived from this temple and known as Kasi of South . The nearby river Chittar is considered equivalent to Ganga","Tenkasi , Tamil Nadu"
8,Annamalaiyar Temple Northern Gopuram ( Ammani Amman Gopuram ),171,15th Century CE,"The temple covers some 10 hectares , this vast temple is one of the largest of India . Four large unpainted gopurams , one of each cardinal point , front of approaches , with the eastern side rising 13 storeys and an astonishing 66m","Tiruvannamalai , Tamil Nadu , India"
9,Meenakshi Amman Temple,170,870 CE,"The complex houses 14 gopurams ( gateway towers ) ranging from 45-50m in height , the tallest being the southern tower , 51.9 metres ( 170 ft ) high The temple has some very old sections but the largest part dates back to 17th century . The four gopurams are decorated with many figures from the Hindu pantheon ; they can be seen from great distances","Madurai , Tamil Nadu , India"
10,"Virupaksha Temple , Main Entrance Gopuram",166,15th Century CE,Built during the time of Vijayanagara Empire,"Hampi , Karnataka"
11,Sarangapani Temple,164,12th Century CE,"The temple is the largest Vishnu temple in Kumbakonam . The temple shrine , in the form of chariot was the work of the Chola kings during the 12th century","Kumbakonam , Tamil Nadu , India"
12,Annamalaiyar Temple Southern Gopuram ( Tirumanjana Gopuram ),157,9th century CE,"The temple covers some 10 hectares , this vast temple is one of the largest of India . Four large unpainted gopurams , one of each cardinal point , front of approaches , with the eastern side rising 13 storeys and an astonishing 66m","Tiruvannamalai , Tamil Nadu , India"
13,Rajagopalaswamy Temple,154,1523-1575 CE,"Kings Cholas , Vijayaragava Naik built the main gopuram , the thousand pillar hall and the big compound encircling the temple . The details of all these are available in the inscriptions within the temple","Mannargudi , Tamil Nadu , India"
14,Annamalaiyar Temple Northern Gopuram ( Pei Gopuram ),144,9th century CE,"The temple covers some 10 hectares , this vast temple is one of the largest of India . Four large unpainted gopurams , one of each cardinal point , front of approaches , with the eastern side rising 13 storeys and an astonishing 66m","Tiruvannamalai , Tamil Nadu , India"
15,"Lakshmi Narasimha Temple , Mangalagiri",153,1809 CE,Mangalagiri means The Auspicious Hill . This place is one of the 8 important Mahakshetrams ( sacred places ) in India,"Mangalagiri , Andhra Pradesh , India"
16,"Sankaranayinarkoil , Sankarankovil",127,11th Century CE,"Sankarankovil is home to the famous Sankaranarayanan Swamy temple . Sankarankovil is the second largest town in the district . It is very famous for Adi Thabasu festival . In older times , the city was called as Sankaranayinarkoil . Even now it is called as Sankarankovil","Sankarankovil , Tamil Nadu , India"
17,Nanjundeshwara Temple,120,9th Century CE,This is known as Dakshin Kashi or Kashi of South,"Nanjundeshwara Temple , Karnataka , India"
