Title,First release,Developer ( s ),Platform ( s )
Battle Fantasia,"September 16 , 2008",Arc System Works,Xbox 360
Guilty Gear 2 : Overture,"October 7 , 2008",Arc System Works,Xbox 360
BlazBlue : Calamity Trigger,"June 30 , 2009",Arc System Works,Xbox 360
0-D Beat Drop,"November 11 , 2009",Cyclone Zero,Xbox 360 ( XBLA )
Record of Agarest War,"April 27 , 2010","Compile Heart , Red Entertainment",Xbox 360
DeathSmiles,"June 28 , 2010",Cave,Xbox 360
BlazBlue : Continuum Shift,"July 27 , 2010",Arc System Works,Xbox 360
Record of Agarest War Zero,"June 14 , 2011","Compile Heart , Red Entertainment",Xbox 360
Bit.Trip Presents ... Runner2 : Future Legend of Rhythm Alien,"February 27 , 2013",Gaijin Games,Xbox 360 ( XBLA )
A.R.E.S : Extinction Agenda EX,"October 2 , 2013",Extend Studio,Xbox 360 ( XBLA )
