Program,Subscription network,Free-to-air network,Date
Traffik,UKTV,ABC TV,4 January
"Adventures of Tintin , The / The Adventures of Tintin",Cartoon Network,ABC TV,5 January
99 - 1,arena,,11 January
Oranges Are Not the Only Fruit,UKTV,ABC TV,17 January
The Fear,UKTV,ABC TV,22 January
Lillie,UKTV,Seven Network,2 April
South Park,The Comedy Channel,SBS TV,2 June
Seinfeld,TV1,Nine Network Network Ten,6 July
Woof !,Nickelodeon,Nine Network ABC TV,5 September
"Demon Headmaster , The The Demon Headmaster",Nickelodeon,ABC TV,5 September
Delta Wave,Nickelodeon,,5 September
American Gothic,TV1,Network Ten,5 December
"Chronicles of Narnia , The The Chronicles of Narnia",Nickelodeon,ABC TV,6 December
The Adventures of Sinbad,Fox Kids,Network Ten,1998
King of the Hill,Fox8,Seven Network,1998
/ / Secret Life of Toys,Fox Kids,ABC TV,1998
