,Creator,Latest release,User interface,Software license,Cost
Analyze This,Comoe Networks,,Web GUI,N/A,?
Cain and Abel,Massimiliano Montoro,"4.9.56 / April 7 , 2014",GUI,Freeware,Free
Capsa,Colasoft,"11.1 / April 24 , 2018 ( 2018-04-24 )",GUI,Proprietary,"$ 0- $ 995 , depending on version"
Carnivore,Federal Bureau of Investigation,?,?,N/A,?
Charles Web Debugging Proxy,Karl van Randow,"4.1.4 / July 10 , 2017",GUI,?,$ 30- $ 50 ( Free Trial )
Clarified Analyzer,Clarified Networks,,GUI,Proprietary,Non-free
Clusterpoint Network Traffic Surveillance System,Clusterpoint,,web GUI,Proprietary,?
CommView,TamoSoft,6.5,GUI,Proprietary,"$ 299- $ 599 , $ 149 1 year subscription"
dSniff,Dug Song,"2.3 / December 17 , 2000",CLI,BSD License,Free
EtherApe,Juan Toledo,"0.9.14 / February 6 , 2016",GUI,GNU General Public License,Free
Ettercap,ALoR and NaGA,"0.8.2-Ferri / March 14 , 2015",Both,GNU General Public License,Free
Fiddler,Eric Lawrence / Telerik,"5.0.20194 / October 3 , 2019",GUI,Freeware,Free
justniffer,The Justniffer team,"0.5.15 / March 21 , 2016",CLI,GNU General Public License,Free
Kismet,Mike Kershaw ( dragorn ),"2016-01-R1 / January 31 , 2016",CLI,GNU General Public License,Free
Microsoft Message Analyzer,Microsoft,"1.4 / October 28 , 2016",GUI,Proprietary,Free
Microsoft Network Monitor,Microsoft,"3.4 / June 24 , 2010",GUI,Proprietary,Free
netsniff-ng,Daniel Borkmann,"0.6.2 / November 7 , 2016",CLI,GNU General Public License,Free
ngrep,Jordan Ritter,1.45 ( 11/18/06 ),CLI,BSD-style,Free
Observer,Viavi Solutions ( formerly Network Instruments ),,GUI,Proprietary,Price on request
"OmniPeek ( formerly AiroPeek , EtherPeek )",Savvius ( formerly WildPackets ),"11.1 / November , 2017",GUI,Proprietary,"$ 1194- $ 5994 , depending on version"
