Year,Winner,Collection,Shortlisted nominees & collections
2005,Yiyun Li,A Thousand Years of Good Prayers,David Bezmozgis - Natasha and Other Stories Alice Hoffman - Blackbird House Bret Anthony Johnston - Corpus Christi Tim Winton - The Turning David Means - The Secret Goldfish
2006,Haruki Murakami,"Blind Willow , Sleeping Woman",Rachel Sherman - The First Hurt Samrat Upadhyay - The Royal Ghosts Rose Tremain - The Darkness of Wallis Simpson Philip Ó Ceallaigh - Notes from a Turkish Whorehouse Peter Stamm - In Strange Gardens and Other Stories
2007,Miranda July,No One Belongs Here More than You,Simon Robson - The Separate Heart and Other Stories Olaf Olafsson - Valentines Etger Keret - Missing Kissinger Manuel Muñoz - The Faith Healer of Olive Avenue Charlotte Grimshaw - Opportunity
2008,Jhumpa Lahiri,Unaccustomed Earth,No shortlist issued
2009,Simon Van Booy,Love Begins in Winter,"Petina Gappah - An Elegy for Easterly Wells Tower - Everything Ravaged , Everything Burned Shih-Li Kow - Ripples and Other Stories Philip Ó Ceallaigh - The Pleasant Light of Day Charlotte Grimshaw - Singularity"
2010,Ron Rash,Burning Bright,T. C. Boyle - Wild Child David Constantine - The Shieling Robin Black - If I Loved You I Would Tell You This Belle Boggs - Mattaponi Queen Laura van den Berg - What the World Will Look Like When All the Water Leaves Us
2011,Edna O'Brien,Saints and Sinners,"Yiyun Li , Gold Boy , Emerald Girl Alexander MacLeod , Light Lifting Suzanne Rivecca , Death is Not an Option Colm Tóibín , The Empty Family Valerie Trueblood , Marry or Burn"
2012,Nathan Englander,What We Talk About When We Talk About Anne Frank,"Kevin Barry , Dark Lies the Island Fiona Kidman , The Trouble with Fire Sarah Hall , The Beautiful Indifference Etgar Keret , Suddenly a Knock on the Door Lucia Perillo , Happiness is a Chemical in the Brain"
2013,David Constantine,Tea at the Midland and Other Stories,"Tamas Dobozy , Siege 13 Deborah Levy , Black Vodka Joyce Carol Oates , Black Dahlia & White Rose Peter Stamm , We 're Flying Claire Vaye Watkins , Battleborn"
2014,Colin Barrett,Young Skins,"Laura van den Berg , The Isle of Youth A. L. Kennedy , All the Rage Phil Klay , Redeployment Ben Marcus , Leaving the Sea Lorrie Moore , Bark"
2015,Carys Davies,The Redemption of Galen Pike,"Karen Bender , Refund Tony Earley , Mr . Tall Kirsty Gunn , Infidelities Thomas McGuane , Crow Fair Alejandro Zambra , My Documents"
