Rank,Country,Team,Points
1,England,Dick Taylor Mike Tagg Tim Johnston Mike Turner Trevor Wright Bob Richardson,57
2,France,Noel Tijou René Jourdan Jean Wadoux Lucien Rault Gilbert Gauthier Jean-Pierre Ouine,121
3,Belgium,Gaston Roelants Willy Polleunis Gaston Heleven Eugène Allonsius Albien van Holsbeek Paul Thijs,125
4,New Zealand,Rex Maddaford Euan Robertson Gavin Thorley Barry Everitt Bryan Rose John Robinson,160
5,Scotland,Ian McCafferty Lachie Stewart Fergus Murray Dick Wedlock Gareth Bryan-Jones Bill Mullett,179
6,Spain,Mariano Haro Javier Alvarez Carlos Pérez José Maiz Fernando Aguilar Ramon Tasende,203
7,Morocco,Moha Aït Bassou Ben Assou El Ghazi Moumoh Haddou Mohamed Ben Abdelsalem M'Barek Ahdib Haddou Jaddour,228
8,United States,Bill Clark Tracy Smith Charles Messenger Jim Murphy Bill Norris Tom Heinonen,369
9,Wales,Malcolm Thomas Tony Simmons Cyril Leigh Bernie Plain Paul Darney Alan Jones,372
10,Ireland,Paddy Coyle Danny McDaid Tom O'Riordan Sean O'Sullivan Dennis Quinlan Jim Timoney,389
11,Tunisia,Mhedheb Hannachi Labidi Ayachi Abdelkader Zaddem Ammar Khemiri Adelaziz Bouguerra Hamdouni Sghaier,461
12,Northern Ireland,Derek Graham David Logue Cyril Pennington Malcolm Edger Mike Teer Roy Kernoghan,480
13,Canada,Robert Finlay Grant McLaren Dave Atkinson Brian Bisson Brian Armstrong David Wighton,489
