#,Title,Co-Stars,Release Date,Director
1,Porky 's Duck Hunt *,Porky,"April 17 , 1937",Tex Avery
2,Daffy Duck & Egghead,Egghead,"January 1 , 1938",Tex Avery
3,The Daffy Doc,Porky,"November 26 , 1938",Bob Clampett
4,Plane Daffy,Hatta Mari,"September 16 , 1944",Frank Tashlin
5,The Great Piggy Bank Robbery,Porky ( cameo ),"July 20 , 1946",Bob Clampett
6,Nasty Quacks,Melissa Duck,"December 1 , 1945",Frank Tashlin
7,Book Revue,The Big Bad Wolf,"January 5 , 1946",Bob Clampett
8,Duck Amuck,Bugs ( cameo ),"February 28 , 1953",Chuck Jones
9,Duck Dodgers in the 24½th Century,"Porky , Marvin","July 25 , 1953",Chuck Jones
10,The Scarlet Pumpernickel,"Porky , Sylvester , Elmer , Henery , Melissa , Mama Bear","March 4 , 1950",Chuck Jones
11,My Little Duckaroo,"Porky , Nasty Canasta","November 27 , 1954",Chuck Jones
12,A Star Is Bored,"Bugs , Elmer , Sam","September 15 , 1956",Friz Freleng
13,"Deduce , You Say !","Porky , Shropshire Slasher","September 29 , 1956",Chuck Jones
14,Ali Baba Bunny,Bugs,"February 9 , 1957",Chuck Jones
15,Robin Hood Daffy,Porky,"March 8 , 1958",Chuck Jones
