Name,Class year ( s ),Degree ( s ),Notability
Dave Crenshaw,2000,B.S . ( Marriott ),Writer and speaker
Avraham Gileadi,1975 1977 1981,B.A . M.A . Ph.D,Member of the September Six
Sharlene Wells Hawkes,1986,B.A,"Miss America 1985 , ESPN sportscaster"
Colleen Kay Hutchins,1947,B.A,Miss America 1952
Soben Huon,2006,B.S,Miss Utah USA 2006
Natalie Camille Johnson,2002,B.S . ( Marriott ),Miss Utah 2002
Jaime Augusto Mayol,1975,B.A,Manhunt International 2006 winner
Katie Millar,2007,B.S,Miss Utah 2006
Mark Rober,2004,B.S,YouTube personality and former mechanical engineer for NASA and Apple Inc
Elizabeth Smart,2010,B.M,Victim of kidnapping ; political activist ; NY Times Best Selling Author
