Club,Won,Runner-up,Years won,Years Runner-up
Palmeiras,10,4,"1960 * , 1967 * , 1967 ^ , 1969 ^ , 1972 , 1973 , 1993 , 1994 , 2016 , 2018","1970 ^ , 1978 , 1997 , 2017"
Santos,8,8,"1961 * , 1962 * , 1963 * , 1964 * , 1965 * , 1968 ^ , 2002 , 2004","1959 * , 1966 * , 1983 , 1995 , 2003 , 2007 , 2016 , 2019"
Corinthians,7,3,"1990 , 1998 , 1999 , 2005 , 2011 , 2015 , 2017","1976 , 1994 , 2002"
São Paulo,6,6,"1977 , 1986 , 1991 , 2006 , 2007 , 2008","1971 , 1973 , 1981 , 1989 , 1990 , 2014"
Flamengo,6,2,"1980 , 1982 , 1983 , 1992 , 2009 , 2019","1964 * , 2018"
Cruzeiro,4,5,"1966 * , 2003 , 2013 , 2014","1969 ^ , 1974 , 1975 , 1998 , 2010"
Vasco da Gama,4,4,"1974 , 1989 , 1997 , 2000","1965 * , 1979 , 1984 , 2011"
Fluminense,4,0,"1970 ^ , 1984 , 2010 , 2012",-
Internacional,3,6,"1975 , 1976 , 1979","1967 ^ , 1968 ^ , 1988 , 2005 , 2006 , 2009"
Botafogo,2,3,"1968 * , 1995","1962 * , 1972 , 1992"
Grêmio,2,3,"1981 , 1996","1982 , 2008 , 2013"
Bahia,2,2,"1959 * , 1988","1961 * , 1963 *"
Atlético Mineiro,1,5,1971,"1977 , 1980 , 1999 , 2012 , 2015"
Guarani,1,2,1978,"1986 , 1987"
Atlético Paranaense,1,1,2001,2004
Coritiba,1,0,1985,-
Sport,1,0,1987,-
Fortaleza,0,2,-,"1960 * , 1968 *"
São Caetano,0,2,-,"2000 , 2001"
Náutico,0,1,-,1967 *
