Country,Nuncio,Nunciature,Ambassador,Rank
Argentina,Giuseppe Fietta ( 1936-1953 ) Mario Zanin ( 1953-1958 ),,Carlos Brebbia ( 1943-1947 ),Ambassador
Austria,Maurilio Silvani ( 1946-1947 ) Giovanni Battista Dellepiane ( 1949-1961 ),Apostolic Nuncio to Austria,Adolf Kohlruss ( 1946 ),Ambassador
Belgium,Clemente Micara ( 1923-1946 ) Fernando Cento ( 1946-1953 ) Efrem Forni ( 1953-1962 ),Apostolic Nuncio to Belgium,Adrien Nieuwenhuys,Ambassador
Brazil,Benedetto Aloisi Masella ( 1927-1946 ) Carlo Chiarlo ( 1946-1954 ) Armando Lombardi ( 1954-1964 ),Apostolic Nuncio to Brazil,Ildebrando Accioly Mauricio Nabuco ( ante 1948 ),Ambassador
Chile,Aldo Laghi ( 1938-1942 ) Mario Zanin ( 1947-1953 ) Sebastiano Baggio ( 1953-1959 ),,( 1939- ? ),Ambassador
Colombia,Giuseppe Beltrami ( 1945-1950 ) Antonio Samoré ( 1950-1953 ) Paolo Bertoli ( 1953-1959 ),,Carlos Arango Velez ( 1944-post 1949 ),Ambassador
Czechoslovakia,Sanverio Xavier Ritter ( 1946-1953 ),Apostolic Nuncio to Czechoslovakia,M. Maixner ( circa 1947 ),
France,Valerio Valeri ( 1936-1944 ) Angelo Roncalli ( 1944-1953 ) Paolo Marella ( 1953-1959 ),Apostolic Nuncio to France,François Charles-Roux ( 1932-1940 ) Wladimir d'Ormesson ( 1940 ) Léon Bérard ( 1940-1945 ) Jacques Maritain ( 1945-1948 ),Ambassador
Germany,Cesare Orsenigo ( 1930-1945 ) Aloisius Joseph Muench ( 1951-1959 ),Apostolic Nuncio to Germany,Diego von Bergen ( 1915-1943 ) Ernst von Weizsäcker ( 1943-1945 ),Ambassador
Hungary,Angelo Rotta ( 1930-1957 ),,György Barcza,Ambassador
Ireland,Paschal Charles Robinson ( 1929-1948 ) Ettore Felici ( 1949-1951 ) Gerald P. O'Hara ( 1951-1954 ) Albert Levame ( 1954-1958 ),Apostolic Nuncio to Ireland,,
Italy,Francesco Borgongini Duca ( 1929-1953 ) Giuseppe Fietta ( 1953-1958 ),Apostolic Nuncio to Italy,Dino Alfieri ( 1939-1940 ) Bernardo Attolico ( 1940-1943 ) Galeazzo Ciano ( 1943 ),Ambassador
Peru,Fernando Cento ( 1936-1946 ) Giovanni Panico ( 1948-1953 ) Francesco Lardone ( 1953-1959 ),Apostolic Nuncio to Peru,Diomedei Arias Schreider,Ambassador
Poland,Filippo Cortesi ( 1936-1947 ),Apostolic Nuncio to Poland,Kazimierz Papée ( 1939-1958 ),Ambassador
Portugal,Pietro Ciriaci ( 1934-1954 ) Fernando Cento ( 1954-1958 ),Apostolic Nuncio to Portugal,Carneiro Pacheco Tovar de Lemos ( ? -1950 ) Jose Nasolini ( 1950- ? ),Ambassador
