Time,Swimmer,Date,Place
52.07,Marcel Gery,"February 1 , 1990","Paris , France"
51.94,Denis Pankratov,"February 4 , 1996","Paris , France"
51.93,Denis Pankratov,"February 5 , 1997","Imperia , Italy"
51.78,Denis Pankratov,"February 7 , 1997","Paris , France"
51.16,Michael Klim,"January 22 , 1998","Sydney , Australia"
51.07,Michael Klim,"January 22 , 1998","Sydney , Australia"
51.02,James Hickman,"December 14 , 1998","Sheffield , United Kingdom"
50.99,Michael Klim,"September 2 , 1999","Canberra , Australia"
50.59,Lars Frölander,"March 16 , 2000","Athens , Greece"
50.44,Lars Frölander,"March 17 , 2000","Athens , Greece"
50.26,Thomas Rupprath,"December 14 , 2001","Antwerp , Belgium"
50.10,Thomas Rupprath,"January 27 , 2002","Berlin , Germany"
50.02,Milorad Čavić,"December 12 , 2003","Dublin , Ireland"
49.77,Ian Crocker,"March 26 , 2004","East Meadow , United States"
49.07,Ian Crocker,"March 26 , 2004","East Meadow , United States"
48.99,Yevgeny Korotyshkin,"November 7 , 2009","Moscow , Russia"
48.48,Yevgeny Korotyshkin,"November 15 , 2009","Berlin , Germany"
48.44,Chad le Clos,"December 4 , 2014","Doha , Qatar"
48.08,Chad le Clos,"December 8 , 2016","Windsor , Canada"
