Name,Relation to NYU,Notability
Woody Allen,TSOA 1953*,Emmy Award 1957
Rachel Brosnahan,"TSOA 2012 , B.F.A",Emmy Award 2017 for The Marvelous Mrs. Maisel
Vinnette Justine Carroll,"GSAS 1946 , M.A",Emmy Award 1964 for Beyond the Blues
Cy Coleman,Steinhardt,Emmy Award
Tony Kushner,"TSOA 1984 , M.F.A",Emmy Award
Ami Miron,"POLY , M.S",He received two Technology & Engineering Emmy Awards
Harvey Leonard,"ENG , M.S",He received two New England Emmy Awards for outstanding achievement in television weathercasting
Vince Gilligan,TSOA,"Emmy Award , a writer and producer for The X-Files"
Ian Nelson,CAS *,Emmy Award for WINNERS
Jonathan Meath,"TSOA 1979 , B.A",Emmy nominations TV production
Debra Messing,"TSOA 1993 , M.F.A",Emmy Award 2003 for Will and Grace
David Milhous,"TSOA 1991 , B.F.A",Emmy Award 2017 for Crime Watch Daily
Camryn Manheim,"TSOA 1987 , M.F.A",Emmy Award for The Practice
Terrance Moran,"Steinhardt 1964 , B.A . ; 1965 , M.A . ; 1971 , Ph.D","Emmy Award 1987 for McSorley 's , New York"
Jeffrey Wright,TSOA *,Emmy Award 2003
Paul Tazewell,TSOA,Emmy Award 2016 for The Wiz Live !
Aziz Ansari,STERN,Emmy Award 2016 for Master of None
Rachel Attridge,TSOA,Emmy Award 2016 for The Wiz Live !
Sterling K. Brown,TSOA,Emmy Award 2016 for The People v. O.J . Simpson : American Crime Story
Jeremy Tchaban,TSOA,Emmy Award 2016 for Last Week Tonight with John Oliver
