Name,Tournaments,Year ( s )
Mr. Águila,3,"2008 , 2012 # 1 , 2013"
Ángel Azteca Jr,1,2007 # 2
Ángel de Oro,4,"2011 , 2012 # 1 , 2012 # 2 , 2014 Puebla"
Arkangel de la Muerte,1,2011
Astro Boy,1,2007 # 2
Averno,5,"2007 # 1 , 2009 , 2012 # 2 , 2013 ,"
Black Warrior,1,2009
Cancerbero,1,2011
Danger,1,2006
Delta,4,"2011 , 2012 # 1 , 2013 , 2014 Mexico City"
Diamante,1,2011
Dragón Rojo Jr. / Diamante Negro,4,"2008 , 2012 # 2 , 2013 , 2014 Puebla"
Ephesto,3,"2008 , 2009 , 2014 Mexico City"
Euforia,5,"2007 # 2 , 2008 , 2012 # 1 , 2012 # 2 , 2013"
El Felino,2,"2007 # 1 , 2013"
Fuego / Flash,4,"2008 , 2009 , 2011 , 2012 # 1"
Gran Guerrero,1,2014 Puebla
Guerrero Maya Jr,2,"2012 # 1 , 2014 Mexico City"
El Hijo del Fantasma,1,2013
Hijo del Signo,1,2012 # 1
