Member,Electoral district,Party
John Crawford,Beautiful Plains,Liberal
Charles Mickle,Birtle,Liberal
James A . Smart,Brandon City,Liberal
Clifford Sifton,Brandon North,Liberal
Herbert Graham,Brandon South,Liberal
Martin Jérôme,Carillon,Liberal
Thomas Gelley,Cartier,Liberal
Ernest Jameson Wood,Cypress,Conservative
Daniel McLean,Dennis,Liberal
Rodmond Roblin,Dufferin,Liberal
James Thomson,Emerson,Liberal
John Norquay,Kildonan,Conservative
Finlay McNaughton Young,Killarney,Liberal
Kenneth McKenzie,Lakeside,Liberal
Edward Dickson,Lansdowne,Liberal
William Lagimodière,La Verendrye,Liberal
Robert George O'Malley,Lorne,Conservative
William Winram,Manitou,Liberal
James Gillies,Minnedosa,Conservative
Alexander Lawrence,Morden,Liberal
