Recording or collection,Performer or agent,Year
"The Vernacular Wax Cylinder Recordings at University of California , Santa Barbara Library","University of California , Santa Barbara",1890-1910
"The Benjamin Ives Gilman Collection , recorded at the 1893 World 's Columbian Exposition at Chicago",Benjamin Ives Gilman,1893
The Boys of the Lough/The Humours of Ennistymon,Michael Coleman,1922
That Black Snake Moan / Matchbox Blues,Blind Lemon Jefferson,1928
"Sorry , Wrong Number ( episode of Suspense radio series )",Suspense,"May 25 , 1943"
Ac-Cent-Tchu-Ate the Positive,Johnny Mercer,1944
Radio Coverage of President Franklin D. Roosevelt 's Funeral,"Arthur Godfrey , et al","April 14 , 1945"
"Kiss Me , Kate Original Cast Recording",Original Cast,1949
John Brown 's Body,"Tyrone Power , Judith Anderson , and Raymond Massey ; directed by Charles Laughton",1953
My Funny Valentine,The Gerry Mulligan Quartet featuring Chet Baker,1953
Sixteen Tons,Tennessee Ernie Ford,1955
Mary Do n't You Weep,The Swan Silvertones,1959
Joan Baez,Joan Baez,1960
Stand By Me,Ben E. King,1961
New Orleans Sweet Emma Barrett and her Preservation Hall Jazz Band,Sweet Emma Barrett and her Preservation Hall Jazz Band,1964
You 've Lost That Lovin ' Feelin ',The Righteous Brothers,1964
The Doors,The Doors,1967
Lincoln Mayorga and Distinguished Colleagues,Lincoln Mayorga,1968
Stand !,Sly and the Family Stone,1969
A Wild and Crazy Guy,Steve Martin,1978
