Name,Born,Category,Subcategory,Year Designated
Reibo Aoki ( 青木鈴慕 ),1935,Music,Shakuhachi,1999
Hōzan Yamamoto II ( 二代目山本邦山 ),1937,Music,Shakuhachi,2002
Shōin Yamase ( 山勢松韻 ),1932,Music,Koto,2001
Fumiko Yonekawa II ( 二代目米川文子 ),1926,Music,Koto,2008
Kisaburō Kineya XV ( 十五代目杵屋喜三郎 ),1923,Music,Nagauta ( Vocals ),1997
Tetsuo Miyada ( 宮田哲男 ),1934,Music,Nagauta ( Vocals ),1998
Masatarō Imafuji ( 今藤政太郎 ),1935,Music,Nagauta ( Shamisen ),2013
Kisaku Katada III ( 三代目堅田喜三久 ),1935,Music,Nagauta ( Narimono ),1999
Komanosuke Takemoto ( 竹本駒之助 ),1935,Music,Gidayūbushi ( Vocals ),1989
Tomoji Tsuruzawa ( 鶴沢友路 ),1913,Music,Gidayūbushi ( Shamisen ),1998
Shibun Uji VII ( 七代目宇治紫文 ),1933,Music,Icchūbushi ( Vocals ),1999
Bunchō Uji ( 宇治文蝶 ),1935,Music,Icchūbushi ( Shamisen ),2001
Setsuko Yamabiko ( 山彦節子 ),1920,Music,Katōbushi ( Vocals ),1994
Senko Yamabiko ( 山彦千子 ),1946,Music,Katōbushi ( Shamisen ),2009
Senroku Miyazono II ( 二代目宮園千碌 ),1944,Music,Miyazonobushi ( Vocals ),2007
Wakasanojō Tsuruga 11 ( 三代目鶴賀若狭掾 ),1938,Music,Shinnaibushi ( Vocals ),2001
Nakasaburō Shinnai ( 新内仲三郎 ),1940,Music,Shinnaibushi ( Shamisen ),2001
Ichihadayū Tokiwazu ( 常磐津一巴太夫 ),1930,Music,Tokiwazubushi ( Vocals ),1995
Eiju Tokiwazu ( 常磐津英寿 ),1929,Music,Tokiwazubushi ( Shamisen ),1992
Eijudayū Kiyomoto ( 清元清寿太夫 ),1935,Music,Kiyomotobushi ( Vocals ),2003
