Team,Location,Stadium,Capacity
Butler Bulldogs,"Indianapolis , Indiana",Butler Bowl,"7,500"
Creighton Bluejays,"Omaha , Nebraska",Morrison Stadium,"6,000"
DePaul Blue Demons,"Chicago , Illinois",Cacciatore Stadium,"1,200"
Georgetown Hoyas,"Washington , D.C",Shaw Field,"2,000"
Marquette Golden Eagles,"Milwaukee , Wisconsin",Valley Fields,"1,600"
Providence Friars,"Providence , Rhode Island",Glay Field,"3,000"
St. John 's Red Storm,"Jamaica , New York",Belson Stadium,"2,168"
Seton Hall Pirates,"South Orange , New Jersey",Owen T. Carroll Field,"1,800"
Villanova Wildcats,"Villanova , Pennsylvania",Villanova Soccer Complex,"1,000"
Xavier Musketeers,"Cincinnati , Ohio",XU Soccer Complex,"1,500"
