Suburb,Population,Town,Territorial Authority
Allenton,"5,172",Ashburton,Ashburton District Council
Redwoodtown,"4,881",Blenheim,Marlborough District Council
Whitney,"4,005",Blenheim,Marlborough District Council
Witherlea,"3,993",Blenheim,Marlborough District Council
Marchwiel,"3,741",Timaru,Timaru District Council
Highfield,"3,408",Timaru,Timaru District Council
Springlands,"3,081",Blenheim,Marlborough District Council
West End,"2,790",Timaru,Timaru District Council
Tinwald,"2,703",Ashburton,Ashburton District Council
Mayfield,"2,694",Blenheim,Marlborough District Council
Seaview,"2,505",Timaru,Timaru District Council
Parkside,"2,412",Timaru,Timaru District Council
Hampstead,"2,325",Ashburton,Ashburton District Council
Watlington,"2,256",Timaru,Timaru District Council
Gleniti,"2,022",Timaru,Timaru District Council
