Round,Pick,Player,Position,Team,College
1,1,Andy Tonkovich,G,Providence Steamrollers,Marshall
1,2,George Kok,C,Indianapolis Jets,Arkansas
1,3,George Hauptfuhrer,C,Boston Celtics,Harvard
1,4,Dolph Schayes,F/C,New York Knicks,NYU
1,5,Ed Mikan,F/C,Chicago Stags,DePaul
1,6,Walt Budko,F/C,Baltimore Bullets,Columbia
1,7,Robert Gale,G/F,St. Louis Bombers,Cornell
1,8,Ward Williams,F,Fort Wayne Pistons,Indiana
1,9,Chuck Hanger,-,Minneapolis Lakers,California
1,10,Bobby Wanzer,G,Rochester Royals,Seton Hall
1,11,Don Ray,F/C,Philadelphia Warriors,Western Kentucky
1,12,Jack Nichols,F/C,Washington Capitols,Washington
