No,Player,Position
1,Clint Greenshields,Fullback
2,Cyril Stacul,Wing
3,Steven Bell,Centre
4,Adam Mogg,Centre
5,Dimitri Pelo,Wing
6,Thomas Bosc,Stand Off
7,Shane Perry,Scrum-half
8,David Ferriol,Prop
9,Casey McGuire,Hooker
10,Jérôme Guisset,Prop
11,Sébastien Raguin,Second Row
12,Jason Croker,Second Row
13,Grégory Mounis,Loose forward
14,Dane Carlaw,Utility
15,Jean-Philippe Baile,Second Row
16,Olivier Elima,Second Row
17,Cyril Gossard,Second Row
18,Vincent Duport,Centre
19,Julien Touxagas,Second Row
20,Kane Bentley,Hooker
