Abbr,English,German,French,Italian,Romansh
AG,Aargau ; Argovia,Aargau ( help · info ),Argovie,Argovia,Argovia
AI,Appenzell Innerrhoden ; Appenzell Inner-Rhodes,Appenzell Innerrhoden ( help · info ),Appenzell Rhodes-Intérieures,Appenzello Interno,Appenzell dadens
AR,Appenzell Ausserrhoden ; Appenzell Outer-Rhodes,Appenzell Ausserrhoden ( help · info ),Appenzell Rhodes-Extérieures,Appenzello Esterno,Appenzell dador
BS,Basel-Stadt ; Basle-City,Basel-Stadt ( help · info ),Bâle-Ville,Basilea Città,Basilea-Citad
BL,Basel-Landschaft ; Basle-Country,Basel-Landschaft ( help · info ),Bâle-Campagne,Basilea Campagna,Basilea-Champagna
BE,Bern ; Berne,Bern ( help · info ),Berne,Berna,Berna
FR,Fribourg ; Friburg,Freiburg ( help · info ),Fribourg,Friburgo,Friburg
GE,Genève ; Geneva,Genf ( help · info ),Genève,Ginevra,Genevra
GL,Glarus ; Glaris,Glarus ( help · info ),Glaris,Glarona,Glaruna
GR,Graubünden ; Grisons,Graubünden ( help · info ),Grisons,Grigioni,Grischun
JU,Jura,Jura ( help · info ),Jura,Giura,Giura
LU,Lucerne,Luzern ( help · info ),Lucerne,Lucerna,Lucerna
NE,Neuchâtel,Neuenburg ( help · info ),Neuchâtel,Neuchâtel,Neuchâtel
NW,Nidwalden ; Nidwald,Nidwalden ( help · info ),Nidwald,Nidvaldo,Sutsilvania
OW,Obwalden ; Obwald,Obwalden ( help · info ),Obwald,Obvaldo,Sursilvania
SH,Schaffhausen ; Schaffhouse,Schaffhausen ( help · info ),Schaffhouse,Sciaffusa,Schaffusa
SZ,Schwyz,Schwyz ( help · info ),Schwyz ( or Schwytz ),Svitto,Sviz
SO,Solothurn ; Soleure,Solothurn ( help · info ),Soleure,Soletta,Soloturn
SG,St. Gallen ; St Gall,St. Gallen ( help · info ),Saint-Gall,San Gallo,Son Gagl
TG,Thurgau ; Thurgovia,Thurgau ( help · info ),Thurgovie,Turgovia,Turgovia
