Pos,No,Driver,Constructor,Time,Gap
1,3,Jacques Villeneuve,Williams - Renault,1:24.473,
2,4,Heinz-Harald Frentzen,Williams - Renault,1:25.271,+0.798
3,14,Olivier Panis,Prost - Mugen-Honda,1:25.491,+1.018
4,5,Michael Schumacher,Ferrari,1:25.773,+1.300
5,22,Rubens Barrichello,Stewart - Ford,1:25.942,+1.469
6,11,Ralf Schumacher,Jordan - Peugeot,1:26.218,+1.745
7,6,Eddie Irvine,Ferrari,1:26.327,+1.854
8,16,Johnny Herbert,Sauber - Petronas,1:26.564,+2.091
9,12,Giancarlo Fisichella,Jordan - Peugeot,1:26.619,+2.149
10,10,David Coulthard,McLaren - Mercedes,1:26.799,+2.326
11,7,Jean Alesi,Benetton - Renault,1:27.076,+2.603
12,8,Gerhard Berger,Benetton - Renault,1:27.259,+2.786
13,1,Damon Hill,Arrows - Yamaha,1:27.281,+2.808
14,17,Nicola Larini,Sauber - Petronas,1:27.690,+3.217
15,23,Jan Magnussen,Stewart - Ford,1:28.035,+3.562
16,18,Jos Verstappen,Tyrrell - Ford,1:28.094,+3.621
17,9,Mika Häkkinen,McLaren - Mercedes,1:28.135,+3.662
18,21,Jarno Trulli,Minardi - Hart,1:28.160,+3.687
19,19,Mika Salo,Tyrrell - Ford,1:28.224,+3.751
20,15,Shinji Nakano,Prost - Mugen-Honda,1:28.366,+3.893
