,Name on the Register,Date listed,Location,City or town
1,Cripple Creek Historic District,"October 15 , 1966 ( # 66000939 )",State Highway 67 38°45′07″N 105°10′31″W / 38.751944°N 105.175278°W / 38.751944 ; -105.175278 ( Cripple Creek Historic District ),Cripple Creek
2,Florissant School,"October 1 , 1990 ( # 90001503 )",2009 County Road 31 38°56′54″N 105°17′41″W / 38.948333°N 105.294722°W / 38.948333 ; -105.294722 ( Florissant School ),Florissant
3,Goldfield City Hall and Fire Station,"May 17 , 1984 ( # 84000897 )",Victor Ave. and 9th St. 38°43′06″N 105°07′25″W / 38.718333°N 105.123611°W / 38.718333 ; -105.123611 ( Goldfield City Hall and Fire Station ),Goldfield
4,Hornbek House,"December 8 , 1981 ( # 81000105 )",County Road 1 38°55′34″N 105°16′56″W / 38.926111°N 105.282222°W / 38.926111 ; -105.282222 ( Hornbek House ),Florissant
5,Manitou Experimental Forest Station,"August 28 , 1998 ( # 98001091 )",232 County Road 79 39°06′00″N 105°05′30″W / 39.1°N 105.091667°W / 39.1 ; -105.091667 ( Manitou Experimental Forest Station ),Woodland Park
6,Midland Terminal Railroad Depot,"May 17 , 1984 ( # 84000899 )",230 N. 4th St. 38°42′45″N 105°08′25″W / 38.7125°N 105.140278°W / 38.7125 ; -105.140278 ( Midland Terminal Railroad Depot ),Victor
7,Stratton 's Independence Mine and Mill,"March 4 , 1993 ( # 93000054 )",Junction of Rangeview Rd . and State Highway 67 38°42′39″N 105°08′00″W / 38.710833°N 105.133333°W / 38.710833 ; -105.133333 ( Stratton 's Independence Mine and Mill ),Victor
8,Twin Creek Ranch,"February 7 , 1997 ( # 97000029 )",1465 Teller County Road 31 38°57′04″N 105°18′09″W / 38.951111°N 105.3025°W / 38.951111 ; -105.3025 ( Twin Creek Ranch ),Florissant
9,Victor Downtown Historic District,"July 3 , 1985 ( # 85001463 )","Roughly bounded by Diamond Ave. , 2nd , Portland , and 5th Sts . 38°42′39″N 105°08′25″W / 38.710833°N 105.140278°W / 38.710833 ; -105.140278 ( Victor Downtown Historic District )",Victor
10,Victor Hotel,"April 10 , 1980 ( # 80000929 )",4th St. and Victor Ave. 38°42′38″N 105°08′26″W / 38.710556°N 105.140556°W / 38.710556 ; -105.140556 ( Victor Hotel ),Victor
