#,Title,Characters,Year,Series
1,Bacall to Arms,,"August 3 , 1946",MM
2,Buckaroo Bugs,Bugs,"August 26 , 1944",LT
3,Crazy Cruise,,"March 14 , 1942",MM
4,Farm Frolics,,"May 10 , 1941",MM
5,Hare Ribbin ',"Bugs , Willoughby","June 24 , 1944",MM
6,Patient Porky,Porky,"August 24 , 1940",LT
7,Prehistoric Porky,Porky,"October 12 , 1940",LT
8,The Bashful Buzzard,Beaky,"September 15 , 1945",LT
9,The Old Grey Hare,"Bugs , Elmer","October 28 , 1944",MM
10,The Wacky Wabbit,"Bugs , Elmer","May 2 , 1942",MM
11,The Wise Quacking Duck,Daffy,"May 1 , 1943",LT
12,Wagon Heels,Porky,"July 28 , 1945",LT
13,The Daffy Doc,"Daffy , Porky","November 26 , 1938",LT
14,A Tale of Two Kitties,Tweety,"November 21 , 1942",MM
15,Porky 's Pooch,Porky,"December 27 , 1941",LT
