Church,Dates,"City , State"
"First Methodist Church ( Alexandria , Louisiana )",1907 built 1980 NRHP-listed,"Alexandria , Louisiana"
Holly Grove Methodist Church,built NRHP-listed,"Anacoco , Louisiana"
Arizona Methodist Church,built NRHP-listed,"Arizona , Louisiana"
Alabama Methodist Church,built NRHP-listed,"Bernice , Louisiana"
White 's Chapel United Methodist Church,built NRHP-listed,"Bunkie , Louisiana"
Hickory Springs Methodist Episcopal Church,built NRHP-listed,"Chatham , Louisiana"
First United Methodist Church,built NRHP-listed,"Columbia , Louisiana"
First United Methodist Church,built NRHP-listed,"DeRidder , Louisiana"
Elton United Methodist Church,built NRHP-listed,"Elton , Louisiana"
Clear Creek AME Church,built NRHP-listed,"Felixville , Louisiana"
Gibson Methodist Episcopal Church,built NRHP-listed,"Gibson , Louisiana"
Grand Cane United Methodist Church,built NRHP-listed,"Grand Cane , Louisiana"
Harrisonburg Methodist Church,1854 built 1927 renovated 2015 NRHP-listed,"Harrisonburg , Louisiana"
Keachi United Methodist Church,built NRHP-listed,"Keachi , Louisiana"
First United Methodist Church,built NRHP-listed,"Lafayette , Louisiana"
First United Methodist Church,built NRHP-listed,"Leesville , Louisiana"
Loranger Methodist Church,built NRHP-listed,"Loranger , Louisiana"
Lutcher United Methodist Church,built NRHP-listed,"Lutcher , Louisiana"
Tulip Methodist Church,built NRHP-listed,"Marsalis , Louisiana"
St. James United Methodist Church,built NRHP-listed,"Monroe , Louisiana"
