Name,Line,Date,Location,Present status
Ardingly,Haywards Heath - Horsted Keynes,1883,TQ338276 51°01′56″N 0°05′25″W / 51.0321°N 0.0904°W / 51.0321 ; -0.0904 ( Ardingly ),Private residence
Barcombe,Lewes - East Grinstead ( Bluebell Line ),1882,TQ416157 50°55′24″N 0°00′56″E / 50.9234°N 0.0155°E / 50.9234 ; 0.0155 ( Barcombe ),Private residence
Cocking,Chichester - Midhurst,1881,SU873177 50°57′06″N 0°45′23″W / 50.9517°N 0.7563°W / 50.9517 ; -0.7563 ( Cocking ),Private residence
East Grinstead,Lewes - East Grinstead ( Bluebell Line ),1882,TQ387382 51°07′35″N 0°01′04″W / 51.1264°N 0.0178°W / 51.1264 ; -0.0178 ( East Grinstead ),Station operational but Myres buildings demolished
Hassocks,Brighton Main Line,1880,TQ303156 50°55′29″N 0°08′46″W / 50.9246°N 0.1460°W / 50.9246 ; -0.1460 ( Hassocks ),Station operational but Myres buildings demolished
Heathfield,Hailsham - Eridge ( Cuckoo Line ),1880,TQ579213 50°58′11″N 0°15′00″E / 50.9697°N 0.2500°E / 50.9697 ; 0.2500 ( Heathfield ),Private residence
Hellingly,Hailsham - Eridge ( Cuckoo Line ),1880,TQ583121 50°53′10″N 0°15′05″E / 50.8860°N 0.2514°E / 50.8860 ; 0.2514 ( Hellingly ),Private residence
Horam,Hailsham - Eridge ( Cuckoo Line ),1880,TQ578174 50°56′05″N 0°14′44″E / 50.9347°N 0.2456°E / 50.9347 ; 0.2456 ( Horam ),Demolished
Horsted Keynes,Lewes - East Grinstead ( Bluebell Line ),1882,TQ370293 51°02′46″N 0°02′41″W / 51.0461°N 0.0446°W / 51.0461 ; -0.0446 ( Horsted Keynes ),Operational
Kingscote,Lewes - East Grinstead ( Bluebell Line ),1882,TQ366356 51°06′11″N 0°02′55″W / 51.1031°N 0.0486°W / 51.1031 ; -0.0486 ( Kingscote ),Operational
Lavant,Chichester - Midhurst,1881,SU855086 50°52′15″N 0°47′05″W / 50.8707°N 0.7848°W / 50.8707 ; -0.7848 ( Lavant ),Private residence
Mayfield,Hailsham - Eridge ( Cuckoo Line ),1880,TQ577268 51°01′07″N 0°14′57″E / 51.0185°N 0.2493°E / 51.0185 ; 0.2493 ( Mayfield ),Private residence
Midhurst,Chichester - Midhurst,1881,SU883207 50°58′45″N 0°44′33″W / 50.9793°N 0.7425°W / 50.9793 ; -0.7425 ( Midhurst ),Demolished
Newick and Chailey,Lewes - East Grinstead ( Bluebell Line ),1882,TQ400210 50°58′19″N 0°00′23″W / 50.9720°N 0.0063°W / 50.9720 ; -0.0063 ( Newick & Chailey ),Demolished
Rotherfield and Mark Cross,Hailsham - Eridge ( Cuckoo Line ),1880,TQ565303 51°03′03″N 0°13′57″E / 51.0507°N 0.2326°E / 51.0507 ; 0.2326 ( Rotherfield & Mark Cross ),Private residence
Sheffield Park,Lewes - East Grinstead ( Bluebell Line ),1882,TQ403236 50°59′44″N 0°00′04″W / 50.9956°N 0.0011°W / 50.9956 ; -0.0011 ( Sheffield Park ),Operational
Singleton,Chichester - Midhurst,1881,SU866130 50°54′37″N 0°46′06″W / 50.9102°N 0.7683°W / 50.9102 ; -0.7683 ( Singleton ),Private residence
West Hoathly,Lewes - East Grinstead ( Bluebell Line ),1882,TQ371328 51°04′43″N 0°02′37″W / 51.0786°N 0.0435°W / 51.0786 ; -0.0435 ( West Hoathly ),Demolished
