Name,Park,Country,Opening year,Manufacturer
Africa Cruise,Nigloland,France,1987,Mack Rides
African Queen,ZOOM Erlebniswelt Gelsenkirchen,Germany,2006,Intamin
Du thuyền nhiệt đới,Dragon Park Ha Long,Vietnam,2017,Intamin
Dschungel Fahrt,Europa-Park,Germany,1978,Mack Rides
Embarque,World of Discoveries,Portugal,2014,Reverchon Industries
Épidemaïs Croisières,Parc Astérix,France,1989,Intamin
Excalibur,Drayton Manor Theme Park,United Kingdom,2003-2011,Bear Rides
Fahrt des Odysseus,Belantis Vergnügungspark,Germany,2003,Bear Rides
Fata Morgana,Efteling,Netherlands,1986,Intamin
Fatihs Dream,Vialand,Turkey,2014,Intamin
Floßfahrt,Heide Park,Germany,1978,Mack Rides
Gamanile River,Leipzig Zoological Garden,Germany,2011,Intamin
Gold River Adventure,Walibi Belgium,Belgium,1978,Intamin
Gondoletta,Luisenpark,Germany,1975,Intamin
Gondoletta,Efteling,Netherlands,1981,Intamin
Jungla,Parque de Atracciones de Madrid,Spain,1977,
Jungle mission,Bellewaerde,Belgium,1978,Intamin
Käpt ' n Blaubärs Abenteuerfahrt,Ravensburger Spieleland,Germany,1998,Mack Rides
Kids Catamaran,Leofoo Village Theme Park,Taïwan,,
Lac des chercheurs d'or,Le Pal,France,,Mack Rides
