Rank,Club,Revenue ( € million ),Country
1,Real Madrid,292.2,Spain
2,Barcelona,259.1,Spain
3,Juventus,251.2,Italy
4,Manchester United,242.6,England
5,Milan,238.7,Italy
6,Chelsea,221.0,England
7,Internazionale,206.6,Italy
8,Bayern Munich,204.7,Germany
9,Arsenal,177.4,England
10,Liverpool,176.0,England
11,Lyon,127.7,France
12,Roma,127.0,Italy
13,Newcastle United,124.3,England
14,Schalke 04,122.9,Germany
15,Tottenham Hotspur,107.2,England
16,Hamburger SV,101.8,Germany
17,Manchester City,89.4,England
18,Rangers,88.5,Scotland
19,West Ham United,86.9,England
20,Benfica,85.1,Portugal
