Name,Owner,Established
3ABN Russia,Three Angels Broadcasting Network,1992
Petersburg - Channel 5,NMG ( National Media Group ),1938
REN TV,NMG ( National Media Group ),1997
CTC TV,CTC Media,1996
Domashny,CTC Media,2005
Dozhd,private investors,2010
Muz-TV,UTV Russia Holding,1995
MTV Russia,Prof-Media ( under license Viacom,1998
VH1 Russia,Prof-Media ( under license Viacom,2006
2×2 ( TV channel ),Prof-Media,1989
TV3 Russia,Prof-Media,1994
RBC TV,RBC-TV Moskva,2003
Discovery Channel Russia,Discovery Networks EMEA,2006
Discovery Science Russia,Discovery Networks EMEA,2006
Discovery Family Russia,Discovery Networks EMEA,2006
Investigation Discovery Russia,Discovery Networks EMEA,2006
National Geographic Russia,National Geographic Partners,2006
BRIDGE TV ( music channel ),Bridge Media Group,2005
Russian Travel Guide,Bridge Media Group,2009
Russian Music Box ( music channel ),Bridge Media Group,2010
