Pos,No,Driver,Constructor,Time,Gap
1,17,Nicola Larini,Osella - Ford,1:43.035,-
2,30,Philippe Alliot,Lola - Lamborghini,1:43.089,+0.054
3,34,Bernd Schneider,Zakspeed - Yamaha,1:44.053,+1.018
4,29,Michele Alboreto,Lola - Lamborghini,1:44.075,+1.040
5,18,Piercarlo Ghinzani,Osella - Ford,1:44.313,+1.278
6,31,Roberto Moreno,Coloni - Ford,1:44.498,+1.463
7,36,Stefan Johansson,Onyx - Ford,1:44.582,+1.547
8,35,Aguri Suzuki,Zakspeed - Yamaha,1:44.780,+1.745
9,33,Oscar Larrauri,EuroBrun - Judd,1:45.446,+2.411
10,37,JJ Lehto,Onyx - Ford,1:45.787,+2.752
11,40,Gabriele Tarquini,AGS - Ford,1:46.705,+3.670
12,41,Yannick Dalmas,AGS - Ford,1:48.306,+5.271
13,32,Enrico Bertaggia,Coloni - Ford,No Time,-
