Artist,Single,Released,Sales ( in millions )
Survivor,Eye of the Tiger,1982,9
Wings,Mull of Kintyre,1977,9
Shakira,"Whenever , Wherever",2001,8.5
The Animals,The House of the Rising Sun,1964,8
Aqua,Barbie Girl,1997,8
The Beatles,Hey Jude,1968,8
Paul Hardcastle,19,1985,8
Mary Hopkin,Those Were the Days,1968,8
Mahalia Jackson,Move On Up a Little Higher,1948,8
Ricky Martin,Livin ' La Vida Loca,1999,8
Modern Talking,"You 're My Heart , You 're My Soul",1984,8
Nirvana,Smells Like Teen Spirit,1991,8
O-Zone,Dragostea Din Tei,2003,8
Freddy Quinn,Heimweh,1956,8
Shocking Blue,Venus,1969,8
