Year,Title,Role,Notes
1979,La guerra de los pasteles,Niña,Uncredited
1980,El Coyote y la Bronca,Child Amalia,
2006,Una película de huevos,Bibi,Voice
2006,Ice Age : The Meltdown,Ellie,Spanish dubbing
2009,Otra película de huevos y un pollo,Bibi,Voice
2006,Ice Age : Dawn of the Dinosaurs,Ellie,Spanish dubbing
2012,Ice Age : Continental Drift,Ellie,Spanish dubbing
2015,Un gallo con muchos huevos,Bibi,Voice
2016,Ice Age : Collision Course,Ellie,Spanish dubbing
2017,Coco,Mama Imelda,Spanish dubbing
2018,Marcianos vs. Mexicanos,La Tlacoyito,Voice
2020,Un rescate de huevitos,Bibi,Voice
