Name,Event,Country,Record,Type
Yeimer López,800 metres,Cuba,1:45.56 min,CR
Ryan Brathwaite,110 metres hurdles,Barbados,13.43 s,CR
Javier Culson,400 metres hurdles,Puerto Rico,48.51 s,CR
José Alberto Sánchez,3000 metres steeplechase,Cuba,8:30.08 min,CR
Alexis Copello,Triple jump,Cuba,17.33 m,CR
Guillermo Martínez,Javelin throw,Cuba,82.16 m,CR
Leonel Suárez,Decathlon,Cuba,8654 pts,CR NR
Yudileyvis Castillo,"10,000 metres",Cuba,33:50.68 min,CR
Tanika Liburd Meritzer Williams Tameka Williams Virgil Hodge,4×100 metres relay,Saint Kitts and Nevis,43.53 s,NR
Kemar Hyman Tyrell Cuffy David Hamil Carlos Morgan,4×100 metres relay,Cayman Islands,39.54 s,NR
Adrian Durant Tabarie Henry David Walters Calvin Dascent,4×100 metres relay,United States Virgin Islands,39.89 s,NR
Yarisley Silva,Pole vault,Cuba,4.40 m,CR
Yargelis Savigne,Triple jump,Cuba,14.97 m,CR
Misleydis González,Shot put,Cuba,19.13 m,CR
Arasay Thondike,Hammer throw,Cuba,71.32 m,CR
Rosa Rodríguez,Hammer throw,Venezuela,69.06 m,NR
