Senator or Representative,Party,State,Date
Senator David Brown,Republican,Minnesota,2.6.2012
Senator Chip Campsen,Republican,South Carolina,"January 15 , 2012"
Senator John Carlson,Republican,Minnesota,2.6.2012
Senator Jake Corman,Republican,Pennsylvania,9.6.2011
Senator Paul Gazelka,Republican,Minnesota,2.6.2012
Senator Glenn Grothman,Republican,Wisconsin,"March 30 , 2012"
Senator Dan Hall,Republican,Minnesota,2.6.2012
Senator David Hann,Republican,Minnesota,2.6.2012
Senator Gretchen Hoffman,Republican,Minnesota,2.6.2012
Senator Bill Ingebrigtsen,Republican,Minnesota,2.6.2012
Senator Ben Kruse,Republican,Minnesota,2.6.2012
Senator Jim Luther,Republican,New Hampshire,1.5.2012
Senator Sean Nienow,Republican,Minnesota,2.6.2012
Senator Joseph B. Scarnati,Republican,Pennsylvania,9.6.2011
Senator David Thompson,Republican,Minnesota,2.6.2012
Representative Jason Antosz,Republican,New Hampshire,
Representative Sue DeLemus,Republican,New Hampshire,1.5.2012
Representative Greg Delleney,Republican,South Carolina,1.12.2012
Representative Andre Jacque,Republican,Wisconsin,"March 30 , 2012"
Representative Scott Krug,Republican,Wisconsin,"March 30 , 2012"
