Year,Country,Main title ( Alternative titles ),Original title ( Original script ),Director,"Battles , campaigns , events depicted"
2000,Canada Germany United Kingdom,Bonhoeffer : Agent of Grace,,Eric Till,"German Lutheran pastor and martyr , Dietrich Bonhoeffer"
2000,China,Devils on the Doorstep,Guizi lai le ( 鬼子来了 ),Jiang Wen,Sino-Japanese War
2000,Czech Republic,Divided We Fall,Musíme si pomáhat,Jan Hřebejk,Collaboration and resistance under German occupation of Czechoslovakia
2000,Italy,Johnny the Partisan,Il partigiano Johnny,Guido Chiesa,Partisan warfare in North Italy
2000,Poland,Judgement of Franciszek Klos ( TV ),Wyrok na Franciszka Kłosa,Andrzej Wajda,Collaboration under German occupation of Poland
2000,Malaysia,Lt. Adnan,Leftenan Adnan,Aziz M. Osman,Adnan Bin Saidi and the Battle of Pasir Panjang
2000,Italy,Malena,Malèna,Giuseppe Tornatore,"Romance/Comedy-drama . Sicilian woman whose husband is conscripted into Italian service , 1940"
2000,Philippines,Markova : Comfort Gay,Tagalog please,Gil Portes,"Drama based on Walter Dempster , Jr. , account of last surviving comfort gay from Japanese occupation of Philippines"
2000,Canada United States,Nuremberg ( TV miniseries ),,Yves Simoneau,Nuremberg Trials
2000,Italy,The Sky Is Falling,Il cielo cade,Andrea Frazzi Antonio Frazzi,German occupation in Tuscany and the murder of Albert Einstein 's relatives
2000,Czech Republic,Spring of Life,Pramen zivota,Milan Cieslar,Nazi SS and Lebensborn
2000,United States,U-571,,Jonathan Mostow,American submariners infiltrate U-boat to capture Enigma machine
2001,Germany Russia,As Far as My Feet Will Carry Me,So weit die Füße tragen ( in German ),Hardy Martins,"Based on Clemens Forell book . German soldier walks 11,000 km to escape Siberian gulag"
2001,United Kingdom United States,Band of Brothers ( TV miniseries ),,Steven Spielberg,"E Company , 506th Infantry Regiment , 101st Airborne from D-Day to end of war"
2001,United Kingdom,The Bunker ( The Bunker : The Evil Is Within ),,Rob Green,Horror-Mystery . Wehrmacht soldiers in Battle of the Siegfried Line
2001,United Kingdom France United States,Captain Corelli 's Mandolin,,John Madden,Italian occupation of Greece and massacre of the Acqui Division
2001,United Kingdom Australia,Charlotte Gray,,Gillian Armstrong,Romance/Thriller . Special Operations Executive and Scotswoman recruited by Secret Service as courier for French Communist Resistance
2001,United Kingdom United States,Conspiracy ( TV ),,Frank Pierson,German officials at Wannsee Conference in 1942 discuss Final Solution to Jewish question ( remake of The Wannsee Conference )
2001,Czech Republic United Kingdom,Dark Blue World,Tmavomodrý svet,Jan Sverák,Czechoslovakian pilots in Battle of Britain
2001,Italy,The Days of Rage : Cefalonia,I giorni dell'amore e dell'odio,Claver Salizzato,Massacre of the Acqui Division in Cephalonia
