Season,Player,School,Position,Class
1980-81,Danny Ainge *,BYU,SG,Senior
1981-82,Bill Garnett,Wyoming,SF,Senior
1982-83,Michael Cage,San Diego State,C,Junior
1982-83,Devin Durrant,BYU,SF,Junior
1982-83,Pace Mannion,Utah,SG,Senior
1983-84,Michael Cage ( 2 ),San Diego State,C,Senior
1984-85,Timo Saarelainen,BYU,SF,Senior
1985-86,Anthony Watson,San Diego State,F,Senior
1986-87,Fennis Dembo,Wyoming,SF,Senior
1987-88,Mike Smith,BYU,SF,Junior
1988-89,Tim Hardaway,UTEP,PG,Senior
1989-90,Mike Mitchell,Colorado State,F,Senior
1990-91,Josh Grant,Utah,PF,Junior
1991-92,Reggie Slater,Wyoming,F,Senior
1992-93,Josh Grant ( 2 ),Utah,PF,Senior
1993-94,Greg Brown,New Mexico,PG,Senior
1994-95,Keith Van Horn,Utah,SG / SF,Sophomore
1995-96,Keith Van Horn ( 2 ),Utah,SG / SF,Junior
1996-97,Anthony Carter,Hawaii,PG,Junior
1996-97,Keith Van Horn ( 3 ),Utah,SG / SF,Senior
